一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
562,日野市多摩平４－３－１,35.667109,139.378379,JGD2011,国道２０号線（日野バイパス）,a,2008-10-10,2008-10-16,3,4,3.0 ,1.3,70,65
563,日野市多摩平７－２３－２３,35.669273,139.389725,JGD2011,国道２０号線（日野バイパス）,a,2008-10-17,2008-10-23,3,4,2.0 ,1.3,70,66
564,日野市万願寺６－３５－１３,35.669601,139.410080,JGD2011,国道２０号線（日野バイパス）,b,2008-10-24,2008-10-30,3,4,3.0 ,1.3,66,62
570,日野市日野本町７－５,35.679592,139.399765,JGD2011,国道２０号線,C,2008-11-19,2008-11-20,3,4,0.7,1.2,66,61
572,日野市石田１－１８,35.670898,139.421997,JGD2011,国道２０号線（甲州街道）,C,2008-12-03,2008-12-04,3,4,4.3,1.2,64,60
585,国立市谷保７１９０－４,35.681619,139.441444,JGD2011,国道２０号線（甲州街道）,b,2009-02-17,2009-02-19,3,4,1.0 ,1.2,71,68
588,国立市谷保５９１２,35.681084,139.439560,JGD2011,国道２０号線,B,2008-11-26,2008-11-27,3,4,15.3,1.2,61,56
592,福生市福生２３００－４,35.740550,139.337811,JGD2011,国道１６号線,c,2008-12-16,2008-12-17,3,4,3.0 ,1.5,76,75
595,福生市熊川１１２０－１,35.731507,139.341740,JGD2011,国道１６号線,C,2008-12-08,2008-12-09,3,4,3.1,1.2,70,67
596,福生市福生２２１５,35.742916,139.337067,JGD2011,国道１６号線,C,2008-12-10,2008-12-11,3,4,3.0 ,1.2,73,74
651,あきる野市菅生７２５,35.747017,139.289734,JGD2011,国道４１１号線（滝山街道）,b,2008-10-15,2008-10-16,3,2,2.0 ,1.2,71,68
665,西多摩郡瑞穂町駒形富士山３９８,35.784142,139.355057,JGD2011,国道１６号線,B,2008-12-10,2008-12-11,3,4,4.0 ,1.2,67,64
669,西多摩郡奥多摩町氷川１９４,35.808080,139.096583,JGD2011,国道４１１号線,B,2008-12-03,2008-12-04,3,2,11.3,1.2,63,56
