一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
561,日野市日野本町７－５－１４,35.678725,139.399515,JGD2011,都道２５６号線（甲州街道）,c,2008‐06‐02,2008‐06‐08,4,3,2.0 ,1.3,65,62
562,日野市多摩平４－３－１,35.667109,139.378379,JGD2011,国道２０号線（日野バイパス）,a,2008‐10‐10,2008‐10‐16,3,4,3.0 ,1.3,70,65
563,日野市多摩平７－２３－２３,35.669273,139.389725,JGD2011,国道２０号線（日野バイパス）,a,2008‐10‐17,2008‐10‐23,3,4,2.0 ,1.3,70,66
564,日野市万願寺６－３５－１３,35.669601,139.410080,JGD2011,国道２０号線（日野バイパス）,b,2008‐10‐24,2008‐10‐30,3,4,3.0 ,1.3,66,62
565,日野市石田１－１１－１,35.668066,139.420638,JGD2011,都道５０３号線（相模原立川線）,a,2008‐10‐31,2008‐11‐06,4,3,4.0 ,1.3,69,62
566,日野市三沢１－１９－１,35.659542,139.421097,JGD2011,都道稲城日野線（川崎街道）,a,2008‐11‐14,2008‐11‐20,4,2,2.0 ,1.3,67,65
567,日野市旭が丘１－８,35.657703,139.375183,JGD2011,都道１５５号線（町田平山八王子線）,a,2008‐11‐21,2008‐11‐27,4,3,3.0 ,1.3,69,64
568,日野市平山５－１２－１６,35.647003,139.383423,JGD2011,都道１７３号線（北野街道）,c,2008‐11‐28,2008‐12‐04,4,2,2.0 ,1.3,63,59
569,日野市平山３－８－８,35.646694,139.385310,JGD2011,都道１５５号線（町田平山八王子線）,a,2008‐12‐05,2008‐12‐11,4,2,2.0 ,1.3,68,65
570,日野市日野本町７－５,35.679592,139.399765,JGD2011,国道２０号線,C,2008‐11‐19,2008‐11‐20,3,4,0.7,1.2,66,61
571,日野市平山５－１１,35.647602,139.384247,JGD2011,都道町田平山八王子線,A,2008‐11‐19,2008‐11‐20,4,2,1.3,1.2,67,64
572,日野市石田１－１８,35.670898,139.421997,JGD2011,国道２０号線（甲州街道）,C,2008‐12‐03,2008‐12‐04,3,4,4.3,1.2,64,60
