一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
294,板橋区板橋２－６７-７,35.751736,139.709290,JGD2011,国道１７号線（中山道）,c,2008-07-15,2008-07-18,3,6,4.0 ,1.0 ,67,65
298,板橋区南常磐台２－８－９,35.756562,139.686301,JGD2011,国道２５４号線（川越街道）,c,2008-09-02,2008-09-05,3,4,4.0 ,1.0 ,70,70
300,板橋区大山町１３－１,35.747094,139.700047,JGD2011,国道２５４号線（川越街道）,c,2008-09-10,2008-09-11,3,4,4.0 ,1.0 ,71,68
301,板橋区本町４１－３,35.757792,139.707237,JGD2011,国道１７号線（中山道）／ 首都高速５号（池袋線）,c,2008-09-11,2008-09-12,3,6,4.0 ,1.0 ,76,75
303,板橋区大原町６－５,35.770150,139.700783,JGD2011,国道１７号線（中山道）,c,2008-07-08,2008-07-09,3,4,4.0 ,1.0 ,71,69
304,板橋区東坂下２－２０－１,35.787265,139.685942,JGD2011,国道１７号線（中山道）,c,2008-09-26,2008-09-27,3,4,4.0 ,1.0 ,71,70
309,板橋区赤塚７－２７－１５,35.779569,139.647669,JGD2011,国道新大宮バイパス,b,2008-09-29,2008-09-30,3,3,4.0 ,1.0 ,69,66
310,板橋区赤塚新町３－３－９,35.770729,139.641541,JGD2011,国道２５４号線（川越街道）,c,2008-09-30,2008-10-01,3,4,4.0 ,1.0 ,73,72
319,練馬区北町３－１５,35.768360,139.651886,JGD2011,国道１７号線,C,2009-03-10,2009-03-11,3,4,11.0 ,1.2,62,60
320,練馬区錦２－１１,35.763020,139.667130,JGD2011,国道２５４号線,C,2009-03-10,2009-03-11,3,4,4.1,1.2,73,73
321,練馬区北町８－２８,35.767879,139.649216,JGD2011,国道２５４号線,C,2009-03-10,2009-03-11,3,4,4.1,1.2,68,65
359,足立区千住河原町１０,35.743710,139.797867,JGD2011,国道４号線,c,2008-12-03,2008-12-04,3,7,4.0 ,1.5,72,70
360,足立区中央本町１－５－３,35.771118,139.803574,JGD2011,国道４号線,c,2008-09-03,2008-09-04,3,4,4.0 ,1.5,67,66
361,足立区西保木間１－１５,35.796452,139.801788,JGD2011,国道４号線,c,2008-10-28,2008-10-29,3,4,4.8,1.5,74,72
366,足立区中央本町１－１６,35.774796,139.803711,JGD2011,国道４号線,c,2008-11-05,2008-11-06,3,4,4.0 ,1.0 ,71,69
374,足立区中央本町１－１６,35.774796,139.803711,JGD2011,国道４号線,C,2008-11-05,2008-11-06,3,4,4.3,1.2,71,69
388,葛飾区金町５－２４,35.765957,139.868622,JGD2011,国道６号線（水戸街道）,c,2008-07-23,2008-07-30,3,8,3.8,1.2,67,64
389,葛飾区四つ木５－１５,35.742584,139.841217,JGD2011,国道６号線（水戸街道）,c,2008-08-19,2008-08-26,3,4,4.7,1.2,69,68
406,葛飾区東金町８－１０,35.779598,139.885056,JGD2011,国道２９８号線,c,2008-07-23,2008-07-30,3,6,4.7,1.2,63,56
407,葛飾区東金町８－１６,35.779942,139.886841,JGD2011,国道２９８号線,a,2008-07-23,2008-07-30,3,6,5.3,1.2,58,52
408,葛飾区東金町８－３３,35.782219,139.884689,JGD2011,国道２９８号線,a,2008-07-23,2008-07-30,3,6,5.8,1.2,63,58
409,葛飾区金町３－１９,35.767693,139.872955,JGD2011,国道６号線（水戸街道・金町陸橋）,c,2008-07-31,2008-08-07,3,8,4.6,1.8,71,68
410,葛飾区金町３－１９,35.767693,139.872955,JGD2011,国道６号線（水戸街道・金町陸橋）,c,2008-07-31,2008-08-07,3,8,4.6,11.8,71,68
411,葛飾区金町３－１９,35.767693,139.872955,JGD2011,国道６号線（水戸街道・金町陸橋）,c,2008-07-31,2008-08-07,3,8,4.6,17.3,73,71
412,葛飾区金町１－１９,35.764439,139.867157,JGD2011,国道６号線,C,2008-11-20,2008-11-21,3,4,4.6,1.2,71,71
430,八王子市片倉町２４１６,35.640305,139.338898,JGD2011,国道１６号線,b,2008-12-08,2008-12-09,3,2,1.8,1.2,73,74
431,八王子市中野山王１－８－５,35.670898,139.331421,JGD2011,国道１６号線,c,2008-12-08,2008-12-09,3,2,1.0 ,1.2,71,70
