一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
137,品川区八潮５－８－４７,35.596727,139.754148,JGD2011,国道３５７号線（湾岸道路）,b,2008-06-10,2008-06-13,3,4,35.0 ,1.2,63,60
144,品川区東大井３－１８－３４,35.600257,139.738632,JGD2011,国道１５号線（第一京浜）,c,2008-12-10,2008-12-13,3,4,2.5,1.5,73,70
146,品川区東品川４－１０,35.607555,139.746155,JGD2011,国道３５７号線（湾岸道路）,C,2008-11-26,2008-11-27,3,4,4.3,1.2,71,67
147,品川区北品川２－７,35.618835,139.744110,JGD2011,国道３５７号線（湾岸道路）,C,2008-11-26,2008-11-27,3,4,4.7,1.2,71,68
157,目黒区東山３－１,35.650799,139.685730,JGD2011,国道２４６号線（玉川通り）,C,2008-11-18,2008-11-19,3,6,4.7,1.2,76,75
167,大田区南馬込５－４２,35.585648,139.705750,JGD2011,国道１号線（第二京浜）,B,2008-11-17,2008-11-18,3,6,2.0 ,2.1,70,66
168,大田区大森中２－１,35.568119,139.730362,JGD2011,国道１５号線（第一京浜）,C,2008-12-01,2008-12-02,3,4,4.2,2.3,73,73
169,大田区西糀谷３－９,35.555283,139.738342,JGD2011,国道１３１号線（産業道路）,C,2008-12-01,2008-12-02,3,4,3.6,3.3,69,69
178,世田谷区太子堂１－４－２４,35.645943,139.676056,JGD2011,国道２４６号線（玉川通り）,c,2008-05-27,2008-06-06,3,6,4.4,1.2,73,73
179,世田谷区上馬４－１－３,35.635284,139.664078,JGD2011,国道２４６号線（玉川通り）,c,2008-08-26,2008-09-05,3,6,3.3,1.2,74,73
182,世田谷区南烏山６－２５－８,35.670761,139.597168,JGD2011,国道２０号線（甲州街道）,b,2008-10-21,2008-10-31,3,5,3.0 ,1.2,76,75
188,世田谷区太子堂２－１３－２,35.644619,139.673004,JGD2011,国道２４６号線（玉川通り）,c,2008-12-10,2008-12-11,3,7,2.6,1.2,74,73
189,世田谷区上北沢４－３１－１０,35.670990,139.617905,JGD2011,国道２０号線（甲州街道）,c,2008-12-08,2008-12-09,3,4,4.7,1.2,71,70
191,世田谷区瀬田２－３１－２,35.618130,139.629593,JGD2011,国道２４６号線（玉川通り）,b,2008-12-10,2008-12-11,3,8,3.0 ,1.2,76,75
193,世田谷区松原１－３９－１１,35.670105,139.651138,JGD2011,国道２０号線（甲州街道）,c,2008-12-08,2008-12-09,3,8,3.5,1.2,72,71
195,世田谷区新町２－８,35.629463,139.649780,JGD2011,国道２４６号線（玉川通り）,B,2009-02-20,2009-02-20,3,6,4.0 ,1.2,73,73
196,世田谷区野毛３－１３,35.605278,139.637375,JGD2011,国道４６６号線（第三京浜）,A,2009-02-19,2009-02-19,3,4,0.5,1.2,56,52
200,渋谷区初台１－３２,35.679077,139.684341,JGD2011,国道２０号線（甲州街道）,c,2008-10-16,2008-10-17,3,8,5.0 ,2.0 ,72,73
203,渋谷区代々木３－２１,35.686443,139.695099,JGD2011,国道２０号線（甲州街道）,c,2008-10-16,2008-10-17,3,8,6.0 ,2.0 ,69,68
207,渋谷区渋谷２－９,35.660763,139.707260,JGD2011,国道２４６号線（青山通り）,C,2008-10-27,2008-10-28,3,8,6.4,1.2,71,68
233,杉並区下高井戸３－３,35.670132,139.631882,JGD2011,国道２０号線（甲州街道）,c,2008-09-09,2008-09-12,3,8,4.9,1.3,70,68
256,豊島区東池袋５－４６－１２,35.727249,139.727554,JGD2011,国道２５４号線（春日通り）,c,2008-10-27,2008-10-28,3,4,3.0 ,1.2,73,70
267,豊島区東池袋５－４６,35.727242,139.727463,JGD2011,国道２５４号線（川越街道）,C,2008-10-27,2008-10-28,3,4,3.0 ,1.2,73,70
276,北区岩淵町２６－６,35.785576,139.721802,JGD2011,国道１２２号線（北本通り）,c,2008-10-30,2008-10-31,3,5,4.5,1.7,68,65
277,北区神谷３－３０－２,35.770996,139.733536,JGD2011,国道１２３号線（北本通り）,c,2008-11-04,2008-11-05,3,6,3.4,1.3,72,68
278,北区神谷１－１０－１,35.768646,139.734360,JGD2011,国道１２４号線（北本通り）,c,2008-11-06,2008-11-07,3,7,3.2,1.3,70,67
280,北区滝野川１－９０－８,35.746017,139.730728,JGD2011,国道１２２号線（明治通り）,c,2008-11-17,2008-11-18,3,4,4.6,1.4,74,71
285,荒川区南千住１－５９,35.734081,139.793381,JGD2011,国道４号線（日光街道）,c,2008-12-16,2008-12-19,3,4,4.1,1.4,73,71
