一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
13,千代田区（旧）和泉橋出張所４階,35.697328,139.774936,JGD2011,首都高速１号（上野線）,c,2008-11-11,2008-11-18,2,4,18.2,13.6,72,70
18,千代田区平河町２－６,35.679234,139.739197,JGD2011,首都高速４号（新宿線）,C,2008-12-04,2008-12-05,2,4,8.5,1.2,69,66
51,港区白金台５－１０,35.641472,139.719849,JGD2011,首都高速２号（目黒線）,B,2008-12-18,2008-12-18,2,4,2.4,1.2,73,71
83,文京区関口３－１１,35.714394,139.728363,JGD2011,首都高速５号（池袋線）,B,2008-11-19,2008-11-20,2,4,1.2,1.2,60,60
128,江東区大島７－３０,35.693832,139.841415,JGD2011,首都高速７号（小松川線）,c,2008-06-10,2008-06-11,2,4,32.0 ,25.8,67,66
129,江東区枝川２－１,35.659821,139.805649,JGD2011,首都高速９号（深川線）,c,2008-07-02,2008-07-03,2,4,20.0 ,27,71,69
143,品川区上大崎３－１４－２３,35.630382,139.720228,JGD2011,首都高速２号（目黒線）,b,2008-11-19,2008-11-22,2,4,15.0 ,8.0 ,69,66
250,杉並区下高井戸５－１０,35.673550,139.621597,JGD2011,首都高速４号（新宿線）,B,2009-02-11,2009-02-11,2,4,17.6,1.2,67,64
261,豊島区南池袋４－１８－１０,35.724850,139.720413,JGD2011,首都高速５号（池袋線）,c,2009-02-02,2009-02-05,2,4,3.5,16.5,74,73
308,板橋区高島平６－１－１,35.792306,139.646469,JGD2011,首都高速５号（池袋線）,c,2008-09-18,2008-09-19,2,4,4.0 ,1.0 ,72,69
372,足立区神明南１－１１,35.788830,139.828140,JGD2011,首都高速６号（三郷線）,b,2008-11-05,2008-11-06,2,4,9.0 ,1.0 ,67,65
380,足立区神明南１－１１,35.788830,139.828140,JGD2011,首都高速６号（三郷線）,B,2008-11-05,2008-11-06,2,4,8.8,1.2,67,65
399,葛飾区小菅１－２,35.752621,139.818939,JGD2011,首都高速中央環状線,c,2008-08-27,2008-09-03,2,4,98.0 ,13.6,63,59
400,葛飾区小菅１－３５,35.756767,139.818176,JGD2011,首都高速６号（三郷線）,b,2008-08-27,2008-09-03,2,4,88.0 ,1.2,欠測,60
403,葛飾区堀切２－４,35.742863,139.825012,JGD2011,首都高速中央環状線,b,2008-08-27,2008-09-03,2,4,17.2,19.7,64,63
