"年[西暦]","港区[人]","東京都[人]","全国[人]"
"1920","330004","3699428","55963053"
"1925","320541","4485144","59736822"
"1930","322487","5408678","64450005"
"1935","337333","6369919","69254148"
"1940","336312","7354971","73114308"
"1947","164966","5000777","78101473"
"1950","216120","6277500","84114574"
"1955","254592","8037084","90076594"
"1960","267024","9683802","94301623"
"1965","241539","10869244","99209137"
"1970","223978","11408071","104665171"
"1975","209492","11673554","111939643"
"1980","201257","11618281","117060396"
"1985","194591","11829363","121048923"
"1990","158499","11855563","123611167"
"1995","144885","11773605","125570246"
"2000","159398","12064101","126925843"
"2005","185861","12576601","127767994"
"2010","205131","13159388","128057352"
"2015","243283","13515271","127094745"
"2017","249242","13530053","127907086"
"2018","253639","13637346","127707259"
"2019","257426","13740732","127443563"
"2020","260379","13834925","127138033"
"2021","259036","13843525","125570000"

"令和3年度港区行政資料集　人口推移","Ver202101",,
