年度,水温（流入水）（℃）,透視度（流入水）（度）,透視度（放流水）（度）,BOD（流入水）（mg/L）,BOD（放流水）（mg/L）,COD（流入水）（mg/L）,COD（放流水）（mg/L）,浮遊物質（流入水）（mg/L）,浮遊物質（放流水）（mg/L）,全窒素（流入水）（mg/L）,全窒素（放流水）（mg/L）,アンモニア性窒素（流入水）（mg/L）,アンモニア性窒素（放流水）（mg/L）,全りん（流入水）（mg/L）,全りん（放流水）（mg/L）
1961,17.4,3.5,31,208,11,170,22,303,33,36.2,18.6,16.6,14.1,-,-
1962,17.5,3.5,33,205,10,170,20,269,20,36,17.9,15.4,14.4,-,-
1963,18.1,4.5,23,137,15,111,28,162,25,27.5,19.1,12.8,12.8,-,-
1964,18.9,4,27,159,9,108,20,243,35,28.6,18.2,10,13.3,-,-
1965,18.2,5,24,141,16,94,23,178,26,26.3,18.9,8.6,12.8,-,-
1966,18.8,6,33,143,15,95,23,146,18,26.1,19.4,9.7,13.8,-,-
1967,18.8,5.5,28,125,14,94,19,105,14,31.8,18.2,10.5,12.2,-,-
1968,-,6,23,127,14,95,22,124,23,25.1,20,8.4,13.2,-,-
1969,18,6,36,117,10,95,20,117,18,23.3,17.8,8.3,11,-,-
1970,17.8,6,32,121,12,99,19,159,31,25.4,18.2,9.2,13.5,-,-
1971,16.9,6.5,33,119,12,105,22,124,31,24.4,15.2,8.1,8.7,-,-
1972,19,6.5,27,115,18,99,28,138,32,19.9,15.1,7,6.4,-,-
1973,17.3,6,29,125,19,95,26,128,22,21.7,13.1,9.3,7.9,-,-
1974,17.8,7,48,130,13,78,17,101,10,19.7,10.2,7.4,6.9,-,-
1975,18.6,8,56,132,10,86,16,132,8,22.5,10.5,7.3,7.2,-,-
1976,18.4,7.5,74,125,9,100,17,117,7,22,10.3,8.3,6.1,-,-
1977,20,6.5,85,133,7,84,13,140,5,25.2,13.4,10.6,9.7,-,-
1978,20.1,6.5,67,122,11,75,15,103,6,22.3,13.7,10.3,10.1,-,-
1979,19.8,7,79,152,7,70,13,113,7,22.4,13,9.9,9.4,-,-
1980,18.8,7,75,185,6,69,12,110,6,24.3,13,11.9,10.9,3.4,1.4
1981,17.9,6.5,72,193,14,71,13,107,6,24,14.5,11.8,10.5,3.2,1.4
1982,19.2,6.5,74,143,9,67,13,97,6,22.5,16.3,10.9,11.3,3.5,1.3
1983,18.5,6.5,83,137,9,79,13,106,5,25.4,17.9,11.6,12.7,2.9,1
1984,20,6,66,165,14,87,14,114,8,27.8,17.6,13.7,12,2.1,1
1985,19.4,6.5,62,167,12,85,14,108,9,28,18.7,14.7,13.8,2.1,0.9
1986,19.1,6,70,171,15,81,12,114,7,28.2,16.7,16.6,11.1,3.3,1.3
1987,20.9,6,76,185,14,79,12,109,5,30.3,16.6,10.1,5.5,3.2,1.3
1988,20.4,5.5,76,214,23,80,11,145,5,30.8,15.3,17.9,8.3,3.2,1.3
1989,21,7,82,169,15,77,12,119,5,29.7,17.4,18.7,10.7,3,1.2
1990,22,6.5,79,156,17,76,13,115,5,28.5,15.5,16.4,6.8,2.9,1.2
1991,21.4,6,79,163,18,76,12,117,5,30.9,15.3,18.7,7.4,3.2,1.3
1992,21.3,6.5,82,168,16,73,12,114,5,29.6,14.9,18.7,7.4,3.8,1.5
1993,20.6,5.5,80,196,12,90,13,159,6,31.8,16.3,19.8,7.6,4.3,1.6
1994,21.9,5.5,79,205,12,90,13,144,5,32.6,17.7,20.1,11.7,4.3,1.4
1995,22.3,5.5,73,197,15,96,14,168,6,35,20.8,23,15.4,4.4,1.5
1996,21.1,6,70,166,11,102,15,165,8,34.5,18.9,21.7,13.2,4.5,1.6
1997,21.1,5,96,205,8,96,12,150,4,33,20.2,21,16,4,0.8
1998,21,6,89,165,7,85,11,140,4,31.9,19.5,19.2,15.8,3.7,0.6
1999,21.7,7,95,130,8,69,10,82,4,31.5,20.1,20.7,15.2,3,0.4
2000,22,6.5,100,140,6,69,10,96,3,30.1,18.7,20.6,14.2,3.1,0.3
2001,22.7,6.5,100,153,6,74,11,101,3,31.6,17.6,20.6,13,3.2,0.3
2002,22.6,6,100,166,7,77,12,101,3,33.7,18.4,21.2,13.1,3.2,0.3
2003,22,6.5,95,146,6,72,11,95,3,31.3,16.3,20.5,10.8,3,0.3
2004,22.5,6,100,150,6,74,12,89,3,31,15,21,8.6,3,0.3
2005,22.2,6.5,95,130,6,74,11,70,4,31,14,21,6.1,3.1,0.5
2006,22.5,6,95,150,8,75,12,88,4,33,16,21,6.9,3.3,0.4
2007,22.9,6.5,85,150,8,84,12,130,5,33,16,20,7,3.5,0.4
2008,21.9,6.5,90,140,9,72,11,97,4,32.2,13.3,20,4.3,3.1,0.4
2009,22.6,5.5,90,140,11,74,11,91,5,33.1,13.6,22,4.1,3.1,0.5
2010,22.3,5,90,180,12,85,11,130,4,32.5,13.5,22,5.9,3.4,0.4
2011,22.5,4.5,90,190,13,80,11,150,4,33.2,14,21.7,5.1,3.3,0.3
2012,22.4,6.5,90,160,15,80,11,82,5,34.2,14.4,23.2,3.6,3.1,0.3
2013,23,6,90,170,11,81,11,100,5,32.8,14.6,23,4.5,3.3,0.3
2014,22.6,5.5,95,170,9,86,11,130,4,34.4,16.2,21.5,7.4,4.3,0.3
2015,23.1,6.5,90,110,10,67,10,78,4,31.8,15.7,21.1,7.6,3,0.3
2016,23.8,5.5,90,140,13,75,11,79,5,32.8,15.1,23.5,5.9,3.3,0.3
2017,23.5,6,85,140,12,76,12,84,4,33.1,16.4,24.9,10.5,3.4,0.3
2018,23.8,5,90,150,9,78,11,95,4,34.4,16.2,24,8.3,3.5,0.3
2019,23.8,4.5,75,180,13,89,12,120,5,36.8,16.6,24.7,7.2,3.8,0.3
備考,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる,年度により流入水・放流水の採水箇所は異なる
備考,-,-,-,-,-,1975年から分析方法を変更,1975年から分析方法を変更,-,-,-,-,-,-,-,-
