水再生センター名,4-t-オクチルフェノール（μg/L）,ノニルフェノール（μg/L）,ビスフェノールA（μg/L）
芝浦（本系）,0.3未満,0.3未満,0.03未満
三河島（総合放流水）,0.3未満,0.3未満,0.03未満
砂町,0.3未満,0.3未満,0.03未満
有明,0.3未満,0.3未満,0.03未満
中川,0.3未満,0.3未満,0.03未満
小菅（西系）,0.3未満,0.3未満,0.03未満
葛西,0.3未満,0.3未満,0.03未満
落合,0.3未満,0.3未満,0.03未満
中野,0.3未満,0.3未満,0.03未満
みやぎ（西系）,0.3未満,0.3未満,0.03未満
新河岸,0.3未満,0.3未満,0.03未満
浮間,0.3未満,0.3未満,0.03未満
森ヶ崎（西系）,0.3未満,0.3未満,0.03未満
