焼却炉,東部スラッジプラント1号炉,東部スラッジプラント2号炉,東部スラッジプラント3号炉,東部スラッジプラント4号炉,東部スラッジプラント5号炉,葛西1号炉,葛西4号炉,葛西5号炉,みやぎ4号炉,みやぎ新1号炉,新河岸2号炉,新河岸新3号炉,新河岸4号炉,南部スラッジプラント4号炉,南部スラッジプラント5号炉,南部スラッジプラント6号炉,南部スラッジプラント新1号炉,南部スラッジプラント新2号炉,南部スラッジプラント新3号炉
硫黄酸化物（m3N/時）測定値,0.08,0.33,0.19,0.03,0.01,0.06,0.04,0.03,0.04,0.01,0.05,0.03,0.11,0.03,0.02,0.09,0.12,0.01,0.11
硫黄酸化物（m3N/時）基準値（K値規制）,28.1,28.6,28.3,27.5,27,15,19.5,17.7,3.2,1.7,2.5,1.4,2.1,2.9,3.7,2.5,2.9,2.6,2.9
硫黄酸化物（m3N/日）測定値,15.2,15.2,15.2,15.2,15.2,2.8,2.8,2.8,1.1,1.1,4.6,4.6,4.6,9.1,9.1,9.1,9.1,9.1,9.1
硫黄酸化物（m3N/日）基準値（総量規制）,64.2,64.2,64.2,64.2,64.2,81.9,81.9,81.9,32.2,32.2,43.2,43.2,43.2,127.3,127.3,127.3,127.3,127.3,127.3
ばいじん（g/m3N）測定値,0.001,0.001,0.001,0.001,0.005,0.025,0.001,0.001,0.001,0.001,0.001,0.023,0.009,0.001,0.001,0.002,0.001,0.001,0.001
ばいじん（g/m3N）基準値,0.08,0.08,0.04,0.04,0.04,0.04,0.08,0.04,0.08,0.04,0.04,0.04,0.08,0.08,0.04,0.04,0.04,0.04,0.04
塩化水素（mg/m3N）測定値,2,2,2,2,5,2,3,3,11,2,2,1,2,2,2,2,1,2,1
塩化水素（mg/m3N）基準値,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
窒素酸化物（ppm）測定値,9,11,9,59,41,5,12,16,8,11,5,6,5,11,9,14,7,5,6
窒素酸化物（ppm）基準値,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
窒素酸化物（m3N/時）測定値,2.9,2.9,2.9,2.9,2.9,1.1,1.1,1.1,0.4,0.4,0.6,0.6,0.6,3.1,3.1,3.1,3.1,3.1,3.1
窒素酸化物（m3N/時）基準値（総量規制）,45.5,45.5,45.5,45.5,45.5,27.7,27.7,27.7,15.9,15.9,25.2,25.2,25.2,56.9,56.9,56.9,56.9,56.9,56.9
全水銀（μg/m3N）測定値,10,15.7,5.9,1.5,2.8,13.7,9.4,14.3,7.7,9.4,0.4,18.5,8,0.6,0.4,0.4,0.6,0.4,0.9
全水銀（μg/m3N）基準値,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
