水再生センター名,北多摩一号,南多摩,北多摩二号,浅川,多摩川上流,八王子,清瀬
高級処理水放流量（千m3/日）,38,28,26,39,23,38,73
高度処理水放流量（千m3/日）,145,82,21,45,147,104,174
簡易処理水放流量（千m3/回）,77,31,43,9,63,34,31
