項目,流入水質,放流水質
BOD(mg/L),156,5
ATU-BOD(mg/L),-,3
COD(mg/L),84,9
浮遊物質(mg/L),117,2
全窒素(mg/L),30.5,11.2
全りん(mg/L),3.4,0.9
