国名,人数（人）,,
中国,"2,147",,
韓国,184,,
インド,77,,
タイ,76,,
インドネシア,68,,
フィリピン,35,,
メキシコ,27,,
香港,24,,
マレーシア,22,,
台湾,21,,
その他,569,,
合　計(34の国と地域),"3,250",,
