水再生センター名,芝浦,三河島総合,三河島東尾久,中川,みやぎ,砂町,有明,小菅,葛西,落合,中野,浮間,新河岸,森ヶ崎
高級処理水放流量（落合：千m3/回、落合以外：千m3/日）,475,268,-,180,161,332,-,159,270,47,56,-,490,1076
高度処理水放流量（千m3/日）,-,-,71,-,-,-,10,-,-,174,-,113,-,-
簡易処理水放流量（千m3/回）,194,122,-,40,90,196,-,140,200,112,-,61,214,518
