(1)局,(2)権利種類,(3)登録番号,(4)発明の名称,(5)部門
下水道局,特許,3927896,継手金具,管きょ技術
下水道局,特許,4152259,陶管の補修工法,管きょ技術
下水道局,特許,4179892,接続継手および補修用継手,管きょ技術
下水道局,特許,4111873,補修用継手,管きょ技術
下水道局,特許,4242306,伏越しの清掃方法および装置,管きょ技術
下水道局,特許,4391386,支障物撤去方法,管きょ技術
下水道局,特許,4646501,シールドセグメント用コーキング材,管きょ技術
下水道局,特許,4734146,シールドトンネル用中詰め鋼製セグメント,管きょ技術
下水道局,特許,4956250,シールド工法用セグメント,管きょ技術
下水道局,特許,4956251,シールド工法用セグメント,管きょ技術
下水道局,実用新案,3190336,横坑掘進用エントランス,管きょ技術
下水道局,特許,4014462,リン除去支援装置,維持管理技術
下水道局,特許,3845042,排水装置用水面制御装置,維持管理技術
下水道局,商標,5240919,東京アメッシュ＼TOKYO AMESH,維持管理技術
下水道局,商標,5240920,アメッシュ＼AMESH,維持管理技術
下水道局,特許,4318491,りん除去方法,維持管理技術
下水道局,特許,4335543,往復動複列型容積ポンプ,維持管理技術
下水道局,特許,4417318,設備診断装置,維持管理技術
下水道局,特許,4464288,スカム処理用ノズル,維持管理技術
下水道局,特許,4611148,大深度人孔用浚渫バケット装置及び該装置による浚渫方法,維持管理技術
下水道局,特許,4726555,下水処理場の統合運用管理方法,維持管理技術
下水道局,特許,4972196,大深度人孔用浚渫バケット装置の自動運転方法,維持管理技術
下水道局,特許,5241784,大深度人孔用浚渫バケット装置の表示装置及び該浚渫バケット装置の運転方法,維持管理技術
下水道局,特許,5435973,流動焼却炉,維持管理技術
下水道局,特許,5647838,汚泥焼却灰からのリン回収方法および回収装置,維持管理技術
下水道局,特許,5665502,下水処理システム,維持管理技術
下水道局,特許,5718590,汚泥焼却灰の処理方法および処理装置,維持管理技術
下水道局,特許,5937299,排水装置用渦流式水面制御装置,維持管理技術
下水道局,特許,6105857,赤外線分析計の前処理装置,維持管理技術
下水道局,特許,6147125,光式圧力センサ,維持管理技術
下水道局,特許,5944467,下水処理システム,維持管理技術
下水道局,特許,5944468,下水処理システム,維持管理技術
下水道局,特許,6509647,投込圧力式水位計の設置構造,維持管理技術
下水道局,特許,6444100,液体分析計及び液体分析システム,維持管理技術
下水道局,特許,6656164,液体分析計、液体分析システム,維持管理技術
下水道局,特許,6830002,濃度測定方法、濃度測定用プログラム、濃度測定システム、及び濃度測定装置,維持管理技術
下水道局,特許,3856314,凝集沈殿方法及び装置,水処理技術
下水道局,特許,3888984,合流式下水道の下水の処理方法と装置,水処理技術
下水道局,特許,3743914,自動採水器用ろ過装置,水処理技術
下水道局,特許,4168759,沈殿池・濃縮槽内の越流樋構造,水処理技術
下水道局,特許,4861349,再生水製造方法,水処理技術
下水道局,特許,5147765,再生水の製造方法,水処理技術
下水道局,特許,5878231,排水の処理装置、排水の処理方法、および排水の処理システム、並びに制御装置、制御方法、およびプログラム,水処理技術
下水道局,特許,6391325,N2O抑制型水処理方法及び処理装置,水処理技術
下水道局,特許,6246624,排水の処理装置および排水の処理方法,水処理技術
下水道局,特許,6655975,曝気制御装置及び曝気制御方法,水処理技術
下水道局,特許,6967037,水処理システム、および水処理方法,水処理技術
下水道局,特許,4173791,流動焼却炉システム並びに同システムの運転方法,汚泥処理技術
下水道局,特許,4083086,重金属類含有灰の不溶化方法および装置,汚泥処理技術
下水道局,特許,4630156,下水汚泥焼却炉の排ガス処理方法,汚泥処理技術
下水道局,特許,5283831,下水処理施設及び下水処理方法,汚泥処理技術
下水道局,特許,5714355,活性汚泥処理装置及びその処理方法,汚泥処理技術
下水道局,特許,5881260,焼却炉閉塞危険性評価方法及び焼却炉閉塞防止方法,汚泥処理技術
下水道局,特許,5974335,焼却炉閉塞防止方法,汚泥処理技術
下水道局,特許,6184821,脱水汚泥圧送用添加剤及び脱水汚泥の圧送方法,汚泥処理技術
下水道局,特許,6170799,有機性廃棄物エネルギー推定方法及び装置,汚泥処理技術
下水道局,特許,6321866,焼却炉閉塞防止方法、焼却炉閉塞防止薬剤添加量算出装置及び焼却炉閉塞防止薬剤添加量算出プログラム,汚泥処理技術
下水道局,特許,6622093,グラニュールの形成方法及び排水処理方法,汚泥処理技術
下水道局,特許,6611480,下水処理方法、リン資源の製造方法,汚泥処理技術
下水道局,商標,4749568,スーパーアッシュ東京都下水道局（第19類：建築用又は構築用の非金属鉱物ほか）,有効利用技術
