年度,透視度（流入水）（度）,透視度（放流水）（度）,BOD（流入水）（mg/L）,BOD（放流水）（mg/L）,COD（流入水）（mg/L）,COD（放流水）（mg/L）,浮遊物質（流入水）（mg/L）,浮遊物質（放流水）（mg/L）,全窒素（流入水）（mg/L）,全窒素（放流水）（mg/L）,全りん（流入水）（mg/L）,全りん（放流水）（mg/L）,,
1981 ,7,70,141,-,72,14,112,6,26.1,15.8,3.1,1.9,,
1982 ,7,75,136,-,73,13,109,5,28.4,17.1,2.9,1.7,,
1983 ,7,80,141,-,76,13,108,5,31.5,18.8,3.0,1.8,,
1984 ,6,75,152,-,81,14,120,6,33.7,20.4,3.4,1.8,,
1985 ,7,75,140,-,73,13,107,5,31.7,19.2,3.9,2.1,,
1986 ,7.5,75,147,-,75,12,115,5,30.3,18.1,3.2,1.6,,
1987 ,6,85,173,-,84,13,133,4,32.8,19.7,3.5,1.6,,
1988 ,6,85,156,-,79,12,129,4,31.1,18.3,3.3,1.5,,
1989 ,7,90,143,-,74,11,121,3,30.4,17.2,3.2,1.4,,
1990 ,6.5,90,144,-,77,11,122,3,30.2,17.5,3.2,1.4,,
1991 ,6.5,90,142,-,74,11,119,3,29.5,16.8,3.2,1.3,,
1992 ,6.5,95,154,-,74,10,117,3,30.1,16.0,3.5,1.4,,
1993 ,6.5,90,147,-,77,11,120,3,30.5,17.3,3.4,1.3,,
1994 ,6,90,154,9,84,12,133,3,33.3,18.6,4.0,1.2,,
1995 ,6,90,151,10,81,11,124,3,32.3,17.8,3.6,1.2,,
1996 ,6,90,150,10,82,11,125,3,32.9,17.5,3.9,1.4,,
1997 ,6,95,148,9,79,11,117,3,31.8,18.5,3.6,1.3,,
1998 ,5.5,95,147,10,78,11,120,4,30.3,17.8,3.3,1.3,,
1999 ,6,95,156,10,78,11,114,3,29.9,17.4,3.2,1.3,,
2000 ,6,95,146,10,76,11,117,3,29.5,16.4,3.3,1.2,,
2001 ,5.5,95,151,8,79,11,118,3,30.9,16.2,3.5,1.2,,
2002 ,5.5,95,161,8,82,11,128,3,31.9,16.7,3.5,1.2,,
2003 ,6,95,149,7,79,11,119,3,30.6,14.4,3.5,1.3,,
2004 ,6,95,156,7,79,11,120,3,31.9,15.0,3.5,1.2,,
2005 ,6,95,153,7,80,11,118,3,31.3,14.5,3.5,1.2,,
2006 ,6,95,154,6,79,11,118,3,30.1,13.1,3.4,1.2,,
2007 ,6,95,154,9,83,11,124,3,31.5,13.5,3.4,1.2,,
2008 ,6,95,139,7,74,10,106,3,29.5,12.7,2.9,1.0,,
2009 ,6,95,148,7,80,10,122,3,29.8,12.7,3.3,1.0,,
2010 ,6,100,152,8,81,11,117,2,29.9,13.1,3.2,1.0,,
2011 ,6,95,154,9,83,10,122,3,30.3,12.9,3.3,0.9,,
2012 ,6,100,146,8,81,10,112,3,29.6,12.4,3.3,1.1,,
2013 ,5.5,100,152,7,87,10,128,3,30.3,12.3,3.4,1.1,,
2014 ,5.5,100,162,7,85,9,133,2,30.9,12.4,3.3,1.0,,
2015 ,6,100,151,6,82,9,109,2,30.3,12.2,3.3,1.0,,
2016 ,5.5,100,159,7,85,9,119,2,30.9,11.9,3.4,1.0,,
2017 ,5.5,100,159,6,84,10,116,2,31.4,11.9,3.5,1.0,,
2018 ,5.5,100,171,6,87,9,122,3,32.7,12.1,3.5,1.1,,
2019 ,5.5,95,158,6,85,9,121,3,32.0,11.7,3.5,1.0,,
備考,単純平均値,単純平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,1981-1993年度は単純平均値、1994年度以降は加重平均値,,
