分類,項目,単位,1961年度,1962年度,1963年度,1964年度,1965年度,1966年度,1967年度,1968年度,1969年度,1970年度,1971年度,1972年度,1973年度,1974年度,1975年度,1976年度,1977年度,1978年度,1979年度,1980年度,1981年度,1982年度,1983年度,1984年度,1985年度,1986年度,1987年度,1988年度,1989年度,1990年度,1991年度,1992年度,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度,2001年度,2002年度,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,,
下水道普及率,下水道普及率,％,22 ,23 ,24 ,26 ,27 ,30 ,42 ,44 ,48 ,48 ,52 ,55 ,58 ,60 ,63 ,65 ,68 ,70 ,72 ,74 ,76 ,78 ,80 ,82 ,83 ,85 ,87 ,89 ,91 ,93 ,95 ,97 ,98 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,,
管渠管理延長,管渠管理延長,m,2767882 ,2876329 ,3062056 ,3296111 ,3494945 ,3795187 ,4140310 ,4554383 ,4909155 ,5255335 ,5738804 ,6281668 ,6781828 ,7184766 ,7592799 ,7984583 ,8342154 ,8722852 ,9137077 ,9448700 ,9734095 ,10062836 ,10429449 ,10837641 ,11262043 ,11766394 ,12270058 ,12716834 ,13152220 ,13542344 ,13859550 ,14135863 ,14381430 ,14603087 ,14785754 ,14895274 ,14985592 ,15094540 ,15190646 ,15298107 ,15360723 ,15415070 ,15503444 ,15576259 ,15618449 ,15675672 ,15742634 ,15793476 ,15830225 ,15856644 ,15897083 ,15936613 ,15975478 ,16002220 ,16029909 ,16060623 ,16093812 ,16112127 ,16136559 ,,
処理能力,処理能力（区部計）,m3/日,1202500 ,1371900 ,1551400 ,1774600 ,1797100 ,2016200 ,2109600 ,2368700 ,2474600 ,2717800 ,2967400 ,3126600 ,3204600 ,4038000 ,4163000 ,4993000 ,5218000 ,5453000 ,5583000 ,5583000 ,5843000 ,5843000 ,5843000 ,5880500 ,5998000 ,5998000 ,6078000 ,6153000 ,6153000 ,6153000 ,6233000 ,6233000 ,6308000 ,6308000 ,6384000 ,6514000 ,6514000 ,6294000 ,6294000 ,6294000 ,6344000 ,6344000 ,6202000 ,6244000 ,6244000 ,6244000 ,6244000 ,6244000 ,6224000 ,6224000 ,6224000 ,6289000 ,6349000 ,6349000 ,6349000 ,6349000 ,6349000 ,6368000 ,6283000 ,,
水再生センター数,処理場（水再生センター）数,箇所,3 ,4 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,7 ,7 ,8 ,8 ,8 ,8 ,8 ,9 ,9 ,9 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,12 ,12 ,12 ,12 ,12 ,12 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,,
処理水量【区部計】,処理水量（受水量）,m3/年,408748345 ,384870245 ,433568552 ,525701038 ,687342384 ,727505203 ,776142150 ,811795503 ,914289640 ,1095220140 ,1222818979 ,1275795126 ,1374500330 ,1535864960 ,1555403900 ,1581183140 ,1621155340 ,1556380410 ,1556557090 ,1542632530 ,1534713210 ,1616849260 ,1612498470 ,1541837800 ,1677351860 ,1665711300 ,1584633820 ,1770598590 ,1871612860 ,1767760670 ,1962914990 ,1824769720 ,1865341140 ,1687080910 ,1713958660 ,1699243540 ,1767041390 ,1801192930 ,1733880320 ,1738982700 ,1686133600 ,1685456450 ,1749759540 ,1778566200 ,1690872110 ,1754098430 ,1635087400 ,1792045000 ,1691781840 ,1677483310 ,1602674740 ,1578758660 ,1633274940 ,1685272760 ,1675519850 ,1645322040 ,1633879370 ,1546259430 ,1710513110 ,,
処理水量【区部計】,高級処理水量,m3/年,256754105 ,346605278 ,413498935 ,510617072 ,659420085 ,704278253 ,771693850 ,719693850 ,853076480 ,1042998510 ,1188879099 ,1208188806 ,1283925640 ,1443441050 ,1468555390 ,1529301290 ,1566961570 ,1505364660 ,1482553570 ,1462416630 ,1444653890 ,1616075700 ,1620252990 ,1570457100 ,1665506440 ,1689880960 ,1624631470 ,1761063900 ,1845564430 ,1774550220 ,1910092393 ,1838064420 ,1871719940 ,1743247580 ,1766893110 ,1723488540 ,1785310990 ,1818076350 ,1762217820 ,1772263830 ,1714241950 ,1715964780 ,1728050390 ,1719074590 ,1666310870 ,1691585820 ,1620355820 ,1678369830 ,1591723960 ,1557681890 ,1495786070 ,1485759900 ,1437759220 ,1454811590 ,1437634200 ,1447114610 ,1415792882 ,1396145910 ,1481786850 ,,
処理水量【区部計】,高度処理水量,m3/年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159858260 ,178205360 ,196448790 ,196490340 ,198126160 ,231682000 ,221114360 ,221005280 ,215259340 ,272183730 ,255075640 ,266259780 ,257093280 ,258276170 ,288989860 ,301322210 ,300330010 ,297137030 ,292042350 ,147549110 ,270931070 ,,
処理水量【三河島水再生センター】,処理水量（受水量）,m3/年,86631310 ,91156360 ,100595770 ,118513090 ,148751370 ,153101590 ,150385260 ,156267300 ,188740360 ,232590930 ,250230200 ,239033800 ,234350550 ,256855660 ,250082730 ,248406540 ,224201910 ,233264160 ,236664370 ,240249790 ,231054270 ,232049970 ,222425480 ,216014820 ,215743970 ,198246770 ,188194410 ,202085370 ,207663140 ,200020710 ,219292340 ,204089660 ,203850870 ,196428500 ,197775780 ,199085660 ,179575550 ,176639650 ,166275540 ,162949250 ,165175230 ,162283300 ,168258080 ,168675480 ,154246630 ,160085180 ,154984440 ,167062520 ,153109710 ,153952840 ,153730610 ,147579430 ,153034230 ,157113790 ,154428820 ,149391450 ,149632020 ,149083500 ,161955590 ,,
処理水量【三河島水再生センター】,高級処理水量,m3/年,82161864 ,88223171 ,96206390 ,114476220 ,141655920 ,147772250 ,145578990 ,145025580 ,161787880 ,224292950 ,243494780 ,233893200 ,230038900 ,251792750 ,244430200 ,242315110 ,218233870 ,228199620 ,224772920 ,228358170 ,220929790 ,224672680 ,216416960 ,211626420 ,205276690 ,188175800 ,179935860 ,189176660 ,192704790 ,189779100 ,204393040 ,194797640 ,193239830 ,187630280 ,189403910 ,187250480 ,160314780 ,158014320 ,151347710 ,151374880 ,155057980 ,150716820 ,153395190 ,155755520 ,143549070 ,138751460 ,137329790 ,145718820 ,137617720 ,137649550 ,145402600 ,140456640 ,139319610 ,140541250 ,137670260 ,138500010 ,137140510 ,140210090 ,143078170 ,,
処理水量【三河島水再生センター】,高度処理水量,m3/年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7896370 ,9157110 ,9646160 ,8985940 ,8370150 ,8193500 ,8221140 ,1348890 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
汚泥処理量,汚泥処理量,m3/年,391448 ,1762044 ,3193480 ,4580680 ,4468105 ,5015240 ,4706610 ,4219450 ,4847900 ,5507900 ,6699220 ,9495370 ,12381500 ,17182050 ,22459170 ,25512390 ,26606920 ,28167720 ,25701760 ,24983260 ,27702410 ,32731440 ,38280660 ,36232480 ,35577980 ,36540070 ,35307800 ,35749130 ,36360100 ,40521590 ,43768750 ,42627020 ,43278130 ,45829900 ,46468880 ,48636580 ,54393210 ,62382370 ,63578120 ,60682330 ,60049450 ,60049450 ,60705270 ,62020710 ,60655853 ,66099720 ,67680560 ,67494714 ,69082030 ,67484645 ,68638358 ,69102090 ,65663690 ,60494689 ,59687595 ,61101730 ,60224220 ,64289315 ,61223635 ,,
汚泥処理量,濃縮汚泥量,m3/年,-,-,-,-,-,-,-,-,3567449 ,4771463 ,5892408 ,6014526 ,5946221 ,7417864 ,7569442 ,7956100 ,9179030 ,9108660 ,8414260 ,8521190 ,8221830 ,8553000 ,8872084 ,9281032 ,10147337 ,10462066 ,10412373 ,10049500 ,10691470 ,10395689 ,9577656 ,10015523 ,10193452 ,10934160 ,10723040 ,10313413 ,9849062 ,10140200 ,10140660 ,9771637 ,9351290 ,9351290 ,9243671 ,9511573 ,9558622 ,9488159 ,9303446 ,9045943 ,9365705 ,9139071 ,9475606 ,9626922 ,9805943 ,9618967 ,9587360 ,9399133 ,9758609 ,11701217 ,9352211 ,,
汚泥処理量,消化汚泥量,m3/年,172633 ,275738 ,518193 ,1109890 ,1425792 ,1338106 ,1820815 ,1634100 ,2011260 ,2330385 ,2599520 ,2853650 ,3265535 ,2984000 ,2656530 ,2693540 ,2243020 ,2727170 ,2332790 ,3217750 ,3925820 ,3948360 ,4117320 ,3554620 ,3312090 ,3619990 ,3877160 ,3654580 ,3363700 ,3515710 ,3222350 ,2641990 ,2756140 ,2964020 ,2061830 ,2706970 ,2191480 ,1507980 ,1419530 ,1377350 ,1363800 ,1363800 ,887010 ,1366790 ,1317510 ,1187890 ,1326970 ,1005110 ,939970 ,891230 ,818940 ,892330 ,869050 ,757130 ,812720 ,813790 ,798730 ,736370 ,822360 ,,
汚泥処理量,脱水汚泥量,t/年,1767 ,31196 ,53283 ,98023 ,173674 ,150217 ,191706 ,233923 ,250297 ,377448 ,471768 ,534447 ,693257 ,945088 ,1019492 ,1085646 ,1248105 ,1226242 ,1200369 ,1047907 ,1037823 ,1063050 ,1062473 ,1111129 ,1016762 ,1063093 ,1079745 ,1074383 ,1094210 ,1097818 ,1097600 ,1078242 ,1088540 ,1063655 ,1063098 ,1048647 ,1046134 ,1128762 ,1101089 ,1098026 ,1075346 ,1075346 ,1112204 ,1025178 ,1010870 ,997830 ,983815 ,974835 ,945789 ,919901 ,942021 ,940554 ,905469 ,919176 ,930823 ,938560 ,962718 ,980307 ,966559 ,,
汚泥処理量,汚泥焼却量,t/年,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,560801 ,640475 ,674972 ,614721 ,600952 ,608490 ,731298 ,800411 ,692597 ,806277 ,806166 ,814949 ,852056 ,853661 ,879070 ,871291 ,883252 ,876838 ,860298 ,924207 ,905552 ,952291 ,1022756 ,1033462 ,1029063 ,1064641 ,1112204 ,1025081 ,1010648 ,997615 ,971633 ,920854 ,875209 ,850421 ,935755 ,934377 ,884592 ,886641 ,901907 ,898190 ,923377 ,946231 ,928280 ,,
汚泥処理量,焼却灰量,t/年,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43600 ,57749 ,65139 ,50495 ,45411 ,46029 ,57635 ,63251 ,49875 ,56234 ,55319 ,57435 ,58064 ,55731 ,54661 ,52103 ,52783 ,50267 ,47782 ,49735 ,50043 ,48095 ,49413 ,47266 ,48724 ,48627 ,50275 ,49663 ,46324 ,43786 ,41161 ,39619 ,35471 ,33121 ,35282 ,33489 ,31170 ,31012 ,30430 ,29355 ,28455 ,28322 ,28626 ,,
電力量・作業費,受電量,kWh/年,41827497 ,54466255 ,63047669 ,76241402 ,91887337 ,110893836 ,129043321 ,136634719 ,148207510 ,178913459 ,199811784 ,233925882 ,266899572 ,302322380 ,336503272 ,353463190 ,388427040 ,413124970 ,420810600 ,425947302 ,439703170 ,459503180 ,473867194 ,489626725 ,492435190 ,513146262 ,548432360 ,556099239 ,573377842 ,581133985 ,600770766 ,608068059 ,613293292 ,594364232 ,596641255 ,598727468 ,604741082 ,616189572 ,673465216 ,662922880 ,685830350 ,675190590 ,688079350 ,685564720 ,688784930 ,698195600 ,694638290 ,713020670 ,714324209 ,695280260 ,662481460 ,657277060 ,631051500 ,671832570 ,675751660 ,665114740 ,674116130 ,679186880 ,683846510 ,,
電力量・作業費,揚水他電力量,kWh/年,16673929 ,15578410 ,17898389 ,22026743 ,27705235 ,36103677 ,39662139 ,32447060 ,45651535 ,53159823 ,53454676 ,71524362 ,90781563 ,102337159 ,112480782 ,113025430 ,126659810 ,124754110 ,127125060 ,129514202 ,134693980 ,152862640 ,142406704 ,146319375 ,157957790 ,146372836 ,176408127 ,189071451 ,204677325 ,202156014 ,220027173 ,217201972 ,217115746 ,203778251 ,209217571 ,208361614 ,221886176 ,237648851 ,235362126 ,229261020 ,221971740 ,232161500 ,234945250 ,235906090 ,233707990 ,235414640 ,229493290 ,270758870 ,273791010 ,275287850 ,249036340 ,249843400 ,267738860 ,272590090 ,280795630 ,284783230 ,283243160 ,279234100 ,294185160 ,,
