項目,流入水質,放流水質
BOD(mg/L),170,3
ATU-BOD(mg/L),-,1
COD(mg/L),100,8
浮遊物質(mg/L),150,2
全窒素(mg/L),32.3,8.3
全りん(mg/L),3.5,0.8
