"届出番号","党派名","候補者名","21:45[人]","22:30[人]","23:45確定[人]"
"1","無所属","高橋しょうご","0","0","147"
"2","無所属","谷山ゆうじろう","0","0","216"
"3","無所属","桜井誠","0","0","1861"
"4","無所属","鳥越俊太郎","3000","10000","18587"
"5","無所属","増田ひろや","5000","20000","28526"
"6","無所属","マック赤坂","0","0","1171"
"7","国民主権の会","山口敏夫","0","0","228"
"8","未来(みらい)創造経営実践党","やまなかまさあき","0","0","46"
"9","無所属","後藤輝樹","0","0","100"
"10","無所属","岸本雅吉","0","0","159"
"11","無所属","小池ゆりこ","10000","35000","53860"
"12","無所属","上杉隆","0","0","3402"
"13","幸福実現党","七海ひろこ","0","0","532"
"14","無所属","中川ちょうぞう","0","0","300"
"15","無所属","せきくち安弘","0","0","32"
"16","ＮＨＫから国民を守る党","立花孝志","0","0","279"
"17","無所属","宮崎正弘","0","0","36"
"18","無所属","今尾貞夫","0","0","26"
"19","無所属","望月義彦","0","0","45"
"20","無所属","武井直子","0","0","61"
"21","無所属","ないとうひさお","0","0","39"

"平成28年7月31日執行　東京都知事選挙候補者別開票結果","Ver201608",,,,
