"種別","地区","協力店[店]"
"米穀小売商業組合","愛宕地区","4"
"米穀小売商業組合","三田地区","2"
"米穀小売商業組合","高輪地区","2"
"米穀小売商業組合","麻布地区","1"
"米穀小売商業組合","本部地区","1"
"米穀小売商業組合","合計","10"
"麺類協同組合","愛宕支部","6"
"麺類協同組合","三田支部","14"
"麺類協同組合","高輪支部","6"
"麺類協同組合","麻布支部","10"
"麺類協同組合","赤坂支部","10"
"麺類協同組合","合計","46"
"石油商業組合","青山神宮前ブロック","6"
"石油商業組合","新橋ブロック","5"
"石油商業組合","赤坂麻布ブロック","9"
"石油商業組合","合計","20"

"令和4年度港区行政資料集　災害時における精米・麺類・石油・燃料等の優先供給協力店","Ver202204",
