"年度[西暦]","車道幅員別","国道 延長[メートル]","国道 面積[平方メートル]","都道 延長[メートル]","都道 面積[平方メートル]","自動車専用道 延長[メートル]","自動車専用道 面積[平方メートル]","区道 延長[メートル]","区道 面積[平方メートル]","区有通路 延長[メートル]","区有通路 面積[平方メートル]"
2014,"合計",13946,515914,47903,1531883,20207,478006,223461,1876119,513,2438
2015,"合計",13946,515914,47752,1532136,20207,478019,223281,1862928,513,2438
2016,"合計",13946,515914,47753,1532889,20207,478019,222888,1860475,513,2438
2017,"合計",13946,515914,47755,1532170,20207,478019,222144,1857040,513,2438
2018,"5.5ｍ未満",0,0,35,3599,0,0,135710,713851,490,2119
2018,"5.5ｍ以上",0,0,11577,226852,0,0,76197,879268,23,319
2018,"13.0ｍ以上",0,0,21312,635012,0,0,7196,172840,0,0
2018,"19.5ｍ以上",13946,516736,14830,666824,20207,485787,2939,92319,0,0

"平成30年度港区行政資料集　道路の種類別延長及び面積","Ver201804",,,,,,,,,,
