"科目","金額[百万円]"
"年度","2016"
"期間（自）","20160401"
"期間（至）","20170331"
"業務活動収支 業務支出","168349"
"業務活動収支 業務支出 業務費用支出","71208"
"業務活動収支 業務支出 業務費用支出 人件費支出","19449"
"業務活動収支 業務支出 業務費用支出 物件費等支出","43799"
"業務活動収支 業務支出 業務費用支出 支払利息支出","66"
"業務活動収支 業務支出 業務費用支出 その他の支出","7894"
"業務活動収支 業務支出 移転費用支出","97141"
"業務活動収支 業務支出 移転費用支出 補助金等支出","77185"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","19562"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","0"
"業務活動収支 業務支出 移転費用支出 その他の支出","394"
"業務活動収支 業務収入","192487"
"業務活動収支 業務収入 税収等収入","139141"
"業務活動収支 業務収入 国都等補助金収入","36459"
"業務活動収支 業務収入 使用料及び手数料収入","8248"
"業務活動収支 業務収入 その他の収入","8639"
"業務活動収支 臨時支出","0"
"業務活動収支 臨時支出 災害復旧事業費支出","0"
"業務活動収支 臨時支出 その他の支出","0"
"業務活動収支 臨時収入","0"
"業務活動収支","24138"
"投資活動収支 投資活動支出","33519"
"投資活動収支 投資活動支出 公共施設等整備費支出","7266"
"投資活動収支 投資活動支出 基金積立金支出","25242"
"投資活動収支 投資活動支出 投資及び出資金支出","513"
"投資活動収支 投資活動支出 貸付金支出","497"
"投資活動収支 投資活動支出 その他の支出","0"
"投資活動収支 投資活動収入","8939"
"投資活動収支 投資活動収入 国都等補助金収入","4569"
"投資活動収支 投資活動収入 基金取崩収入","2413"
"投資活動収支 投資活動収入 貸付金元金回収収入","500"
"投資活動収支 投資活動収入 資産売却収入","928"
"投資活動収支 投資活動収入 その他の収入","529"
"投資活動収支","-24579"
"財務活動収支 財務活動支出","1213"
"財務活動収支 財務活動支出 地方債等償還支出","1109"
"財務活動収支 財務活動支出 その他の支出","104"
"財務活動収支 財務活動収入","177"
"財務活動収支 財務活動収入 地方債等発行収入","177"
"財務活動収支 財務活動収入 その他の収入","0"
"財務活動収支","-1036"
"本年度資金収支額","-1478"
"前年度末資金残高","11923"
"比例連結割合変更に伴う差額","6"
"本年度末資金残高","10451"
"前年度末歳計外現金残高","10171"
"本年度歳計外現金増減額","1772"
"本年度末歳計外現金残高","11943"
"本年度末現金預金残高","22394"

"連結会計財務書類（資金収支計算書）(平成28年4月1日から平成29年3月31日)","Ver201703"
