区市名,団地名,主な所在地,面積,間取,建設年度,管理戸数,一般,ｼﾙﾊﾞｰﾋﾟｱ,車椅子,主な線,主な駅
千代田区,四番町第２アパート,千代田区四番町6,34-63,1DK-3DK,1998,83,44,39,,ＪＲ中央・総武線,市ヶ谷駅
千代田区,四番町第３アパート,千代田区四番町6-3,36-65,1DK-3DK,1995,96,96,,,ＪＲ中央・総武線,市ヶ谷駅
千代田区,飯田橋二丁目アパート,千代田区飯田橋2-1,53-66,2DK-3DK,1987,113,113,,,東京メトロ東西線,九段下駅
中央区,勝どき一丁目アパート,中央区勝どき1-2,34-63,1DK-3DK,1999,282,282,,,都営大江戸線,勝どき駅
中央区,勝どき二丁目アパート,中央区勝どき2-9,42,3DK,1971,104,104,,,都営大江戸線,勝どき駅
中央区,勝どき五丁目アパート,中央区勝どき5-8,33,2DK,1969,238,238,,,都営大江戸線,勝どき駅
中央区,勝どき五丁目第２アパート,中央区勝どき5-9,32-57,1DK-3DK,2006,231,231,,,都営大江戸線,勝どき駅
中央区,勝どき六丁目アパート,中央区勝どき6-6,51,3DK,1977,194,194,,,都営大江戸線,勝どき駅
中央区,佃二丁目アパート,中央区佃2-2,55-66,3DK,1986-1987,280,280,,,東京メトロ有楽町線,月島駅
中央区,明石町第２アパート,中央区明石町13,50,3DK,1975,42,42,,,東京メトロ日比谷線,築地駅
中央区,明石町アパート,中央区明石町2-4,34,2DK,1970,82,82,,,東京メトロ日比谷線,築地駅
港区,港南三丁目アパート,港区港南3-1,55-61,2LDK-3DK,1989,205,205,,,ＪＲ山手線・京浜急行本線,品川駅
港区,港南三丁目第２アパート,港区港南3-9,35-71,1DK-4DK,1995,182,182,,,ＪＲ山手線・京浜急行本線,品川駅
港区,港南四丁目第３アパート,港区港南4-2,31-63,1DK-3DK,1998-2003,799,696,100,3,ＪＲ山手線・京浜急行本線,品川駅
港区,港南四丁目アパート,港区港南4-5,37-42,2DK-3DK,1973-1975,243,243,,,ＪＲ山手線・京浜急行本線,品川駅
港区,港南四丁目第２アパート,港区港南4-7,65-73,2LDK-3LDK,1993,346,346,,,ＪＲ山手線・京浜急行本線,品川駅
港区,高輪一丁目アパート,港区高輪1-15,36-76,1DK-4DK,1990-1993,453,416,32,5,都営三田線・東京メトロ南北線,白金高輪駅
港区,三田一丁目アパート,港区三田1-3,58-63,3DK,1991,49,49,,,都営大江戸線,赤羽橋駅
