規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成27,2015,年平均,100,-0.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,100.5,0.6,101.7,100.2,106.4,101.6,102.6,101.6,96.9,102.8,104,94.6,93.3,106.5,97.9,103.1,96.9
５人以上,平成29,2017,年平均,101.1,0.6,104.1,101.8,100.9,100.7,102.1,104.3,101.2,103.2,102.8,94.1,94,103.3,100.3,99.5,94.1
５人以上,平成30,2018,年平均,100.3,-0.8,105.1,97.6,109.2,102.5,98.5,113.4,100.2,101.7,103.3,92.7,96.4,98,97.5,109.4,92
５人以上,平成31・令和元,2019,年平均,99.7,-0.6,111.9,97.6,112.8,104.8,101.6,105.8,100.1,98.6,106.7,85.6,98.5,93,94.3,100.7,97.8
５人以上,令和２,2020,年平均,98.4,-1.3,107.9,95.6,109.5,104,85.3,105.3,100.9,97.8,101.6,77.9,103.8,94,98.2,97.7,95.8
５人以上,令和２,2020,10月,81.7,-1.2,82.6,76,85.5,85.1,75,84.1,74.8,80.4,87.9,77,100.8,77.2,88,87.2,84.6
５人以上,令和２,2020,11月,85.2,-3.7,90.5,84.4,84,90.2,78,87.8,81.6,80.1,87.1,77.9,101.6,77.7,88.4,76.3,85.3
５人以上,令和２,2020,12月,175.1,0.7,196.9,177,223.8,193.7,142.1,196.3,173.6,186.1,166.7,90.3,137.5,189.4,170.3,193.6,156.7
５人以上,令和３,2021,1月,82.7,0.1,88.2,74.4,86.5,88.1,71.6,86.3,75.7,84.1,81.7,78.6,100.5,74.3,91.4,82.4,87
５人以上,令和３,2021,2月,81,-0.4,81.2,79.1,86.4,84.2,71.5,84.9,73.1,82.9,81.8,77.2,95.6,73.7,87.6,77,85
５人以上,令和３,2021,3月,88.9,0.8,84.7,95,90.7,88.9,72.8,93.3,91.2,86.9,88.3,82.2,104.4,80.2,96,78.9,90.7
５人以上,令和３,2021,4月,87.3,3.7,85.4,83.6,102.3,93.4,77.5,93.7,71.7,92.9,91.1,84.7,101.6,78.6,92.9,85.8,87.5
５人以上,令和３,2021,5月,84.9,3.2,85.2,78.1,98.3,87.1,73.3,88.1,92.1,87.2,82.7,82.3,99.7,75.4,88.1,78.1,88
５人以上,令和３,2021,6月,149.9,0.7,167.1,132.5,242.2,174.8,112.6,154.1,174,161.3,159.2,87,122.2,147.8,144.5,184.7,135.6
５人以上,令和３,2021,7月,108.7,0.2,112.9,118,94,104.6,92.9,135.8,76.5,122,101.7,94.3,120.4,84.6,106.5,96.9,108.2
５人以上,令和３,2021,8月,81.9,1.4,82.4,74.6,89.5,89,72.6,86.6,70.6,84.2,78.9,81.8,103.1,73.6,85.8,72,87.2
５人以上,令和３,2021,9月,82.6,0.2,85.5,76.8,91.1,84.3,73.4,89.9,69.4,84.7,80.1,79.8,103.8,75,88.5,75.1,85.9
５人以上,令和３,2021,10月,83.5,2.2,86.6,76.3,92.6,86.8,74.5,87.7,70.8,85.6,87.9,81.8,101.6,74,91.8,82.8,87.8
５人以上,令和３,2021,10月（前年同月比（％））,－,－,4.8,0.4,8.3,2,-0.7,4.3,-5.3,6.5,0,6.2,0.8,-4.1,4.3,-5,3.8
30人以上,平成27,2015,年平均,100,-1.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成28,2016,年平均,100.2,0.4,100.6,99.6,106.8,101.1,102.6,101.1,96.8,102.1,103.2,102.8,87.3,103.4,95.9,104.8,98
30人以上,平成29,2017,年平均,100.8,0.6,106.1,101.2,104,101.1,102,105.2,96.5,106.4,99.6,98.3,85.5,101.9,97,99.3,95.1
