事業所規模,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,令和３,2021,4月,514077,476438,433872,42566,37639,149320,147109,140146,6963,2211
500人以上,令和３,2021,5月,514774,465788,426189,39599,48986,139516,137331,130698,6633,2185
500人以上,令和３,2021,6月,1105456,465889,427561,38328,639567,158121,142923,136309,6614,15198
500人以上,令和３,2021,7月,668883,468536,427640,40896,200347,145591,140712,134040,6672,4879
500人以上,令和３,2021,8月,475521,465198,426699,38499,10323,141123,139574,132997,6577,1549
500人以上,令和３,2021,9月,487303,464918,427176,37742,22385,142215,140295,133778,6517,1920
500人以上,令和３,2021,10月,504100,476363,435375,40988,27737,144238,142420,135281,7139,1818
500人以上,令和３,2021,11月,498174,469439,427453,41986,28735,145387,143321,136066,7255,2066
500人以上,令和３,2021,12月,1208609,468560,427902,40658,740049,163575,142187,135209,6978,21388
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年年報,,,,,,,,,,,,,
第４表　規模、就業形態別常用労働者の１人平均月間現金給与額（調査産業計）,,,,,,,,,,,,,
