事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
30人以上,TL 調査産業計,平成28,2016,年平均,540853,416424,384734,31690,124429,117428,113933,109561,4372,3495
30人以上,TL 調査産業計,平成29,2017,年平均,544820,417697,386980,30717,127123,118719,115426,111351,4075,3293
30人以上,TL 調査産業計,平成30,2018,年平均,553199,420745,390281,30464,132454,125365,122183,116862,5321,3182
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,552200,421993,389263,32730,130207,122787,119557,114443,5114,3230
30人以上,TL 調査産業計,令和２,2020,年平均,539386,416925,387050,29875,122461,119138,115205,110928,4277,3933
30人以上,TL 調査産業計,令和３,2021,年平均,535924,417072,385427,31645,118852,127901,123728,119457,4271,4173
30人以上,TL 調査産業計,令和３,2021,1月,430429,412082,381671,30411,18347,116199,114888,111158,3730,1311
30人以上,TL 調査産業計,令和３,2021,2月,426114,411562,381577,29985,14552,119283,118051,114143,3908,1232
30人以上,TL 調査産業計,令和３,2021,3月,474773,419070,387805,31265,55703,124197,120794,116591,4203,3403
30人以上,TL 調査産業計,令和３,2021,4月,456273,423181,389629,33552,33092,131872,129590,125001,4589,2282
30人以上,TL 調査産業計,令和３,2021,5月,446642,414987,384051,30936,31655,124157,123152,118959,4193,1005
30人以上,TL 調査産業計,令和３,2021,6月,874504,413999,383655,30344,460505,137680,125603,121111,4492,12077
30人以上,TL 調査産業計,令和３,2021,7月,571596,418240,386452,31788,153356,127489,123037,119029,4008,4452
30人以上,TL 調査産業計,令和３,2021,8月,431682,414378,383202,31176,17304,125194,124216,119886,4330,978
30人以上,TL 調査産業計,令和３,2021,9月,435500,415181,384535,30646,20319,126925,125626,121383,4243,1299
30人以上,TL 調査産業計,令和３,2021,10月,443365,424855,392125,32730,18510,127940,126648,122339,4309,1292
30人以上,TL 調査産業計,令和３,2021,11月,448752,418139,384691,33448,30613,127306,125882,121432,4450,1424
30人以上,TL 調査産業計,令和３,2021,12月,990475,419216,385742,33474,571259,146099,127206,122426,4780,18893
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,728116,546464,518505,27959,181652,117294,117294,117294,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,808423,581695,549289,32406,226728,153129,141479,141458,21,11650
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,831701,572695,537550,35145,259006,213524,197228,196833,395,16296
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,815349,570144,529299,40845,245205,385894,360313,357729,2584,25581
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,1月,543244,537107,501283,35824,6137,210085,210085,208042,2043,－
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,2月,555177,554018,516950,37068,1159,307650,307650,303250,4400,－
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,3月,544478,543320,508379,34941,1158,411150,411050,408350,2700,100
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,4月,560127,555050,512873,42177,5077,454364,440955,439637,1318,13409
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,5月,536743,534624,498640,35984,2119,379673,379510,374163,5347,163
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,6月,1808690,565672,529074,36598,1243018,420118,419765,417177,2588,353
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,7月,840832,599221,556923,42298,241611,616117,366941,364941,2000,249176
30人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,8月,589825,586762,540691,46071,3063,404857,404857,404857,－,－
