規模,産業,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,調査産業計,414967,396130,369305,26825,18837,104203,102704,99571,3133,1499
５人以上,"鉱業,採石業,砂利採取業",543244,537107,501283,35824,6137,210085,210085,208042,2043,－
５人以上,建設業,439103,416685,386514,30171,22418,161617,161054,158231,2823,563
５人以上,製造業,429176,417162,395288,21874,12014,117577,115489,109058,6431,2088
５人以上,電気・ガス・熱供給・水道業,502082,481494,426908,54586,20588,297071,293158,270017,23141,3913
５人以上,情報通信業,461860,427459,394214,33245,34401,133830,131600,126954,4646,2230
５人以上,"運輸業,郵便業",363417,354641,313641,41000,8776,137242,136969,127040,9929,273
５人以上,"卸売業,小売業",417230,402676,380705,21971,14554,103706,102950,99593,3357,756
５人以上,"金融業,保険業",527158,472143,436088,36055,55015,153066,151602,148861,2741,1464
５人以上,"不動産業,物品賃貸業",420510,402011,377590,24421,18499,100980,100796,98224,2572,184
５人以上,"学術研究,専門・技術サービス業",446192,442519,411687,30832,3673,161072,158127,154743,3384,2945
５人以上,"宿泊業,飲食サービス業",304968,300314,289805,10509,4654,66926,65325,64062,1263,1601
５人以上,"生活関連サービス業,娯楽業",358102,345882,332995,12887,12220,80095,78003,75755,2248,2092
５人以上,"教育,学習支援業",433662,426961,415491,11470,6701,92821,91991,91112,879,830
５人以上,"医療,福祉",381739,358813,337052,21761,22926,132280,129906,126909,2997,2374
５人以上,複合サービス事業,410948,396008,363268,32740,14940,147423,145599,135503,10096,1824
５人以上,サービス業（他に分類されないもの）,338692,327333,298248,29085,11359,134077,131966,126731,5235,2111
30人以上,調査産業計,430429,412082,381671,30411,18347,116199,114888,111158,3730,1311
30人以上,"鉱業,採石業,砂利採取業",543244,537107,501283,35824,6137,210085,210085,208042,2043,－
30人以上,建設業,470682,442643,404318,38325,28039,169998,168021,163920,4101,1977
30人以上,製造業,446156,437536,410961,26575,8620,120227,119322,110972,8350,905
30人以上,電気・ガス・熱供給・水道業,487760,465002,406806,58196,22758,186798,179078,176642,2436,7720
30人以上,情報通信業,464108,433842,398545,35297,30266,132206,129647,125590,4057,2559
30人以上,"運輸業,郵便業",365112,355986,312134,43852,9126,135362,135052,124647,10405,310
30人以上,"卸売業,小売業",441660,428976,404254,24722,12684,112627,111094,108195,2899,1533
30人以上,"金融業,保険業",560701,502961,461122,41839,57740,159434,157793,154390,3403,1641
30人以上,"不動産業,物品賃貸業",436544,419771,393068,26703,16773,104994,104715,102571,2144,279
30人以上,"学術研究,専門・技術サービス業",461678,458603,423248,35355,3075,167431,166369,162605,3764,1062
30人以上,"宿泊業,飲食サービス業",318448,315123,304246,10877,3325,69435,68417,67109,1308,1018
30人以上,"生活関連サービス業,娯楽業",420477,399950,384359,15591,20527,73576,72206,71151,1055,1370
30人以上,"教育,学習支援業",454418,446647,434861,11786,7771,101154,99957,99266,691,1197
30人以上,"医療,福祉",400459,376957,349543,27414,23502,147370,144608,140677,3931,2762
30人以上,複合サービス事業,409949,409237,365011,44226,712,148170,148170,132300,15870,－
30人以上,サービス業（他に分類されないもの）,325681,317711,289868,27843,7970,130610,129900,124874,5026,710
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１月分,,,,,,,,,,,
第５表  規模、産業、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
