事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,平成28,2016,年平均,7361871,4348643,3013228,172829,87561,85268,162179,84747,77432,7372521,4351457,3021064,24.7,14,40.1
５人以上,TL 調査産業計,平成29,2017,年平均,7485857,4396588,3089268,176456,90101,86356,166653,84990,81663,7495660,4401699,3093961,24.9,14.3,39.9
５人以上,TL 調査産業計,平成30,2018,年平均,7966404,4589012,3377392,179998,89815,90183,177387,91319,86068,7969015,4587508,3381507,26.4,15.7,41
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,8104880,4645274,3459605,203631,103035,100596,190656,97191,93465,8117855,4651118,3466736,26,15.6,40.1
５人以上,TL 調査産業計,令和２,2020,年平均,8076330,4640685,3435645,174362,87569,86792,186330,95322,91008,8064362,4632932,3431429,24.9,15.1,38.1
５人以上,TL 調査産業計,令和３,2021,年平均,8004335,4558088,3446248,165571,82831,82740,166927,87339,79589,8002979,4553580,3449399,23.9,13.8,37.3
５人以上,TL 調査産業計,令和３,2021,1月,8014272,4606832,3407440,107327,54483,52844,149625,78337,71288,7971974,4582978,3388996,23.5,13.7,36.7
５人以上,TL 調査産業計,令和３,2021,2月,7973695,4552419,3421276,119848,52798,67050,131054,67647,63407,7962489,4537570,3424919,24.3,14,38
５人以上,TL 調査産業計,令和３,2021,3月,7965756,4545481,3420275,136876,68673,68203,192235,101650,90585,7910397,4512504,3397893,23.9,13.5,37.6
５人以上,TL 調査産業計,令和３,2021,4月,7920127,4550891,3369236,485153,261701,223452,348173,203262,144911,8057107,4609330,3447777,23.4,13.2,37
５人以上,TL 調査産業計,令和３,2021,5月,8060161,4577724,3482437,182609,87536,95073,163059,81300,81759,8079711,4583960,3495751,23.6,13.5,36.9
５人以上,TL 調査産業計,令和３,2021,6月,8080681,4595837,3484844,129461,62322,67139,159864,74589,85275,8050278,4583570,3466708,23.8,13.5,37.5
５人以上,TL 調査産業計,令和３,2021,7月,8047363,4588484,3458879,143503,77326,66177,169685,91086,78599,8021181,4574724,3446457,23.5,13.7,36.5
５人以上,TL 調査産業計,令和３,2021,8月,8021181,4551525,3469656,106558,54504,52054,148159,70129,78030,7979580,4535900,3443680,23.7,13.6,37
５人以上,TL 調査産業計,令和３,2021,9月,7980158,4537082,3443076,136820,65434,71386,140369,69478,70891,7976609,4533038,3443571,23.8,13.8,37.1
５人以上,TL 調査産業計,令和３,2021,10月,7975080,4529905,3445175,192105,97349,94756,158274,89117,69157,8008911,4538137,3470774,24.2,14.2,37.3
５人以上,TL 調査産業計,令和３,2021,11月,8007378,4539798,3467580,131520,60141,71379,128395,65298,63097,8010503,4534641,3475862,24.5,14.3,37.8
５人以上,TL 調査産業計,令和３,2021,12月,8006172,4521072,3485100,115071,51704,63367,114235,56171,58064,8007008,4516605,3490403,24.6,14.2,38.1
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1393,1032,360,31,24,7,35,27,8,1389,1029,359,0.1,－,0.3
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1381,1073,309,26,21,5,29,25,4,1378,1069,310,0.9,1.1,－
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,1460,1129,331,30,25,6,22,18,4,1468,1136,333,0.9,1.2,0.2
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,1464,1086,378,18,14,4,25,20,5,1457,1080,377,1.1,1.1,0.9
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,1月,1497,1165,332,12,11,1,29,20,9,1480,1156,324,1.6,1.6,1.2
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,2月,1480,1077,403,11,10,1,12,9,3,1479,1078,401,1.4,1.4,1.2
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,3月,1479,1078,401,11,7,4,12,9,3,1478,1076,402,1.4,1.4,1.2
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,4月,1478,1076,402,50,31,19,52,49,3,1476,1058,418,1.6,1.8,1.2
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,5月,1476,1058,418,12,6,6,23,13,10,1465,1051,414,1.6,1.8,1.2
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,6月,1465,1108,357,15,15,0,10,9,1,1470,1114,356,0.6,0.6,0.6
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,7月,1470,1114,356,17,15,2,22,16,6,1465,1113,352,0.6,0.6,0.6
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,8月,1465,1110,355,8,7,1,14,8,6,1459,1109,350,0.5,0.5,0.3
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,9月,1459,1109,350,5,3,2,15,15,0,1449,1097,352,0.6,0.6,0.3
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,10月,1449,1058,391,22,21,1,33,29,4,1438,1050,388,1,1,1
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,11月,1438,1049,389,16,15,1,37,33,4,1417,1031,386,1.1,1.1,1
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,12月,1417,1031,386,40,28,12,41,28,13,1416,1031,385,1.1,1.1,1
５人以上,D 建設業,平成28,2016,年平均,346158,293181,52977,4149,3393,756,3874,3235,639,346433,293339,53094,2.3,1.1,9.2
５人以上,D 建設業,平成29,2017,年平均,350239,291377,58862,3977,3247,730,3591,2965,625,350625,291659,58967,3,1.2,11.9
５人以上,D 建設業,平成30,2018,年平均,347189,283766,63422,3935,2935,1000,3784,3069,716,347340,283632,63706,4.3,2.5,12.3
５人以上,D 建設業,平成31・令和元,2019,年平均,363394,299951,63443,6789,5588,1201,4243,3399,844,365940,302140,63800,3.9,2.4,11
５人以上,D 建設業,令和２,2020,年平均,385999,322441,63558,4775,3672,1103,4199,3309,890,386575,322804,63771,2.4,1,9.2
５人以上,D 建設業,令和３,2021,年平均,396060,324664,71396,5767,4682,1085,4763,3853,910,397064,325493,71571,2.9,1.6,8.8
５人以上,D 建設業,令和３,2021,1月,388045,314139,73906,2464,2248,216,3360,2802,558,387149,313585,73564,2.8,1.5,8.7
５人以上,D 建設業,令和３,2021,2月,387149,322452,64697,4189,3919,270,3541,2539,1002,387797,323832,63965,3,1.6,10.3
５人以上,D 建設業,令和３,2021,3月,387797,320388,67409,2899,2428,471,4124,3326,798,386572,319490,67082,3.1,1.6,10.2
５人以上,D 建設業,令和３,2021,4月,386572,320155,66417,23231,18482,4749,15593,13750,1843,394210,324887,69323,2.8,1.4,9.1
５人以上,D 建設業,令和３,2021,5月,394210,323437,70773,11835,9861,1974,4473,3551,922,401572,329747,71825,2.5,1.2,8.2
５人以上,D 建設業,令和３,2021,6月,401572,330261,71311,4121,2724,1397,3979,3339,640,401714,329646,72068,2.7,1.4,9.1
５人以上,D 建設業,令和３,2021,7月,401714,329167,72547,6495,5389,1106,5927,4781,1146,402282,329775,72507,2.9,1.8,8.1
５人以上,D 建設業,令和３,2021,8月,402282,327047,75235,2568,1976,592,3501,2303,1198,401349,326720,74629,2.9,1.7,8.1
５人以上,D 建設業,令和３,2021,9月,401349,326337,75012,2454,1578,876,3144,2400,744,400659,325515,75144,3,1.7,8.5
