事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,R サービス業（他に分類されないもの）,令和３,2021,年平均,799058,419060,379998,20369,8186,12183,19541,8479,11062,799886,418767,381119,29.1,16.4,43
30人以上,R サービス業（他に分類されないもの）,令和３,2021,1月,797206,442857,354349,16947,8789,8158,19606,8578,11028,794547,443068,351479,25.3,16.1,36.9
30人以上,R サービス業（他に分類されないもの）,令和３,2021,2月,794547,411122,383425,24405,5812,18593,12795,5898,6897,806157,411036,395121,30.3,16.5,44.6
30人以上,R サービス業（他に分類されないもの）,令和３,2021,3月,806157,413879,392278,20133,9490,10643,23245,11290,11955,803045,412079,390966,30.8,17.1,45.3
30人以上,R サービス業（他に分類されないもの）,令和３,2021,4月,803045,422095,380950,33693,16828,16865,32229,16865,15364,804509,422058,382451,29.3,16.1,43.8
30人以上,R サービス業（他に分類されないもの）,令和３,2021,5月,804509,421301,383208,17291,5993,11298,15031,6748,8283,806769,420546,386223,28.9,15.8,43.2
30人以上,R サービス業（他に分類されないもの）,令和３,2021,6月,806769,422083,384686,16589,7244,9345,27286,8044,19242,796072,421283,374789,29.2,16.8,43.1
30人以上,R サービス業（他に分類されないもの）,令和３,2021,7月,796072,435741,360331,15624,6725,8899,17116,7263,9853,794580,435203,359377,25,15.7,36.3
30人以上,R サービス業（他に分類されないもの）,令和３,2021,8月,794580,415477,379103,14971,6832,8139,18910,7314,11596,790641,414995,375646,29.1,15.8,43.8
30人以上,R サービス業（他に分類されないもの）,令和３,2021,9月,790641,411656,378985,19302,7776,11526,20336,8777,11559,789607,410655,378952,30,16.1,45.1
30人以上,R サービス業（他に分類されないもの）,令和３,2021,10月,789607,406725,382882,28601,10442,18159,17419,7766,9653,800789,409401,391388,30.8,16.9,45.4
30人以上,R サービス業（他に分類されないもの）,令和３,2021,11月,800789,415668,385121,20284,6395,13889,16301,7392,8909,804772,414671,390101,29.8,16.6,43.8
30人以上,R サービス業（他に分類されないもの）,令和３,2021,12月,804772,410110,394662,16586,5910,10676,14220,5817,8403,807138,410203,396935,30.5,17,44.4
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年年報,,,,,,,,,,,,,,,,,,,
第10－２表　産業、性別常用労働者数及びパートタイム労働者比率　（事業所規模30人以上）,,,,,,,,,,,,,,,,,,,
