"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2021","特別区税","73517078","45.3","85599415","45.2"
"2021","地方譲与税","434367","0.3","434367","0.2"
"2021","利子割交付金","233000","0.1","233000","0.1"
"2021","配当割交付金","1080000","0.7","1080000","0.6"
"2021","株式等譲渡所得割交付金","1000000","0.6","1000000","0.5"
"2021","地方消費税交付金","12482000","7.7","12882000","6.8"
"2021","交通安全対策特別交付金","36000","0.0","36000","0.0"
"2021","環境性能割交付金","76000","0.0","76000","0.0"
"2021","地方特例交付金","100000","0.1","79165","0.0"
"2021","特別区交付金","1500001","0.9","1500001","0.8"
"2021","分担金及び負担金","1406575","0.9","1406575","0.7"
"2021","使用料及び手数料","9032531","5.6","8992246","4.8"
"2021","国庫支出金","20823468","12.8","31768033","16.8"
"2021","都支出金","10128472","6.2","11464190","6.1"
"2021","財産収入","2469260","1.5","2443908","1.3"
"2021","寄附金","335640","0.2","672626","0.4"
"2021","繰入金","23084841","14.2","21601643","11.4"
"2021","繰越金","2000000","1.2","5603226","3.0"
"2021","諸収入","2670767","1.6","2387134","1.3"
"2021","特別区債","0","0.0","0","0.0"
"2021","歳入合計","162410000","100.0","189259529","100.0"
"2022","特別区税","86250766","54.1",,
"2022","地方譲与税","454001","0.3",,
"2022","利子割交付金","205000","0.1",,
"2022","配当割交付金","1100000","0.7",,
"2022","株式等譲渡所得割交付金","1200000","0.8",,
"2022","地方消費税交付金","12800000","8.0",,
"2022","交通安全対策特別交付金","40000","0.0",,
"2022","環境性能割交付金","92000","0.1",,
"2022","地方特例交付金","75000","0.0",,
"2022","特別区交付金","1500001","0.9",,
"2022","分担金及び負担金","1266617","0.8",,
"2022","使用料及び手数料","10108470","6.3",,
"2022","国庫支出金","17977779","11.3",,
"2022","都支出金","10121419","6.4",,
"2022","財産収入","617327","0.4",,
"2022","寄附金","816360","0.5",,
"2022","繰入金","9823463","6.2",,
"2022","繰越金","2000000","1.3",,
"2022","諸収入","2851797","1.8",,
"2022","特別区債","0","0.0",,
"2022","歳入合計","159300000","100.0",,

"令和4年度港区行政資料集　 一般会計歳入予算（款別）","Ver202203",,,,
