"課税標準額段階","納税義務者数[人]","納税義務者数 構成比[%]","総所得金額等[千円]","所得割額[千円]","所得割額 構成比[%]"
"10万円以下の金額","3126","2.1","1858083","1101908","1.5"
"10万円を超える金額","22015","15.0","29796781","1021821","1.4"
"100万円を超える金額","26503","18.1","63688268","2430777","3.2"
"200万円を超える金額","20576","14.0","74774561","3159138","4.2"
"300万円を超える金額","14718","10.0","70994148","3048185","4.1"
"400万円を超える金額","14955","10.2","93948213","4235011","5.6"
"550万円を超える金額","9403","6.4","74652593","3391816","4.5"
"700万円を超える金額","11043","7.5","112698976","5431444","7.2"
"1,000万円を超える金額","24240","16.5","869096553","51213362","68.3"
"合計","146579","100.0","1391508176","75033462","100.0"

"令和2年度港区行政資料集　令和２年度特別区民税課税標準額段階別納税義務者数等","Ver202007",,,,
