"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別","客室数総計[室]","客室定員総計[人]"
"ＡＮＡインターコンチネンタルホテル東京","107-0052","東京都港区赤坂一丁目12番33号",,"2001/4/24","12港み生環き第170号","旅館・ホテル営業","829","1686"
"変なホテル東京　赤坂","107-0052","東京都港区赤坂二丁目6番14号",,"2018/7/13","30港み生環き第31号","旅館・ホテル営業","116","242"
"ヴィアイン　プライム　赤坂","107-0052","東京都港区赤坂二丁目6番17号",,"2022/9/26","2港み生環き第203号","旅館・ホテル営業","345","730"
"赤坂アーバンホテルアネックス","107-0052","東京都港区赤坂二丁目10番1号",,"2019/9/2","31港み生環き第84号","旅館・ホテル営業","44","66"
"赤坂アーバンホテル","107-0052","東京都港区赤坂二丁目12番2号",,"2016/8/22","27港み生環き第116号","旅館・ホテル営業","31","48"
"マリンステイ赤坂山王","107-0052","東京都港区赤坂二丁目13番13号","オレンジビル4階","2020/1/8","31港み生環き第152号","簡易宿所営業","1","14"
"マリンステイ赤坂山王","107-0052","東京都港区赤坂二丁目13番13号","オレンジビル5階","2020/1/8","31港み生環き第153号","簡易宿所営業","1","10"
"５４Ｊｏｕｒｎｅｙ　東京　赤坂","107-0052","東京都港区赤坂二丁目13番14号","福富ビル4階","2022/9/29","4港み生環き第89号","簡易宿所営業","1","18"
"ＨＯＴＥＬ　ＫＡＲＵＴＡ","107-0052","東京都港区赤坂二丁目13番16号",,"2021/3/15","2港み生環き第219号","旅館・ホテル営業","33","68"
"ＨＯＴＥＬ　Ｃｌｏｖｅｒ　ＡＫＡＳＡＫＡ","107-0052","東京都港区赤坂二丁目13番17号","赤坂グリーンランドビル5階","2020/9/1","2港み生環き第99号","旅館・ホテル営業","3","6"
"Ａｋａｓａｋａ　Ｔｈｅ　Ｈｏｓｔｅｌ","107-0052","東京都港区赤坂二丁目13番21号","関根ビル4階","2023/4/25","5港み生環き第1号","簡易宿所営業","1","18"
"ＡＬＦＩＴ　ＨＯＴＥＬ　＆　ＢＡＲ　ＡＫＡＳＡＫＡ","107-0052","東京都港区赤坂二丁目14番34号","赤坂パロスビル1階、3～6階","2023/10/12","5港み生環き第123号","旅館・ホテル営業","52","104"
"Ｇｏｅｍｏｎ　Ａｋａｓａｋａ","107-0052","東京都港区赤坂二丁目15番9号","石井第3ビル5階","2023/12/26","5港み生環き第173号","旅館・ホテル営業","1","6"
"ホテル　シャンティ赤坂","107-0052","東京都港区赤坂二丁目16番15号",,"1980/9/24","55港赤保衛環き第15号","旅館・ホテル営業","47","100"
"ホテルマイステイズプレミア赤坂","107-0052","東京都港区赤坂二丁目17番54号",,"2016/7/21","26港み生環き第185号","旅館・ホテル営業","327","655"
"ＨＯＴＥＬ　Ｓｕｉ　ＡＫＡＳＡＫＡ　ｂｙ　ＡＢＥＳＴ","107-0052","東京都港区赤坂二丁目17番55号",,"2020/5/11","31港み生環き第277号","旅館・ホテル営業","120","298"
"ＳＵハウス赤坂１","107-0052","東京都港区赤坂二丁目19番12号","LAPiSアカサカ2　102号室","2019/9/19","31港み生環き第108号","旅館・ホテル営業","1","2"
"Ｓｔｕｄｉｏ２０１溜池山王","107-0052","東京都港区赤坂二丁目19番12号","ラピス赤坂2　201","2021/6/22","3港み生環き第52号","旅館・ホテル営業","1","2"
"ＬｉｖｅＧＲＡＣＥ　Ａｋａｓａｋａ","107-0052","東京都港区赤坂二丁目20番15号","Jビル2～4階","2018/9/18","30港み生環き第63号","旅館・ホテル営業","3","14"
