川,場所,類,調査日,科,種名,数
石神井川,久保田橋,魚類,2020/7/29,コイ科,タイリクバラタナゴ,1
石神井川,久保田橋,魚類,2020/7/29,コイ科,アブラハヤ,68
石神井川,久保田橋,魚類,2020/7/29,ドジョウ科,ヒガシシマドジョウ,4
石神井川,久保田橋,魚類,2020/7/29,ギギ科,ギバチ,16
石神井川,久保田橋,魚類,2020/7/29,カダヤシ科,グッピー,1
石神井川,緑橋,魚類,2020/7/29,コイ科,アブラハヤ,1
石神井川,緑橋,魚類,2020/7/29,コイ科,ウグイ,13
石神井川,緑橋,魚類,2020/7/29,コイ科,モツゴ,1
石神井川,緑橋,魚類,2020/7/29,ギギ科,ギバチ,9
白子川,東埼橋,魚類,2020/7/28,ドジョウ科,ドジョウ,3
白子川,東埼橋,魚類,2020/7/28,ドジョウ科,ヒガシシマドジョウ,1
白子川,東埼橋,魚類,2020/7/28,ハゼ科,ヨシノボリ属,1
白子川,東埼橋,魚類,2020/7/28,ハゼ科,スミウキゴリ,14
白子川,白藤橋,魚類,2020/7/28,ウナギ科,ニホンウナギ,1
白子川,白藤橋,魚類,2020/7/28,コイ科,ニゴイ,2
白子川,白藤橋,魚類,2020/7/28,コイ科,コイ,10
白子川,白藤橋,魚類,2020/7/28,アユ科,アユ,100<
白子川,白藤橋,魚類,2020/7/28,ボラ科,ボラ,8
白子川,白藤橋,魚類,2020/7/28,スズキ科,スズキ,3
白子川,白藤橋,魚類,2020/7/28,ハゼ科,マハゼ,2
白子川,白藤橋,魚類,2020/7/28,ハゼ科,ヌマチチブ,39
石神井川,久保田橋,底生生物等,2020/7/29,モノアラガイ科,モノアラガイ属,27
石神井川,久保田橋,底生生物等,2020/7/29,シジミ科,シジミ属,2
石神井川,久保田橋,底生生物等,2020/7/29,オヨギミミズ科,オヨギミミズ科,1
石神井川,久保田橋,底生生物等,2020/7/29,ミズミミズ科,エラミミズ,1
石神井川,久保田橋,底生生物等,2020/7/29,－,ツリミミズ目,3
石神井川,久保田橋,底生生物等,2020/7/29,イシビル科,シマイシビル,3
石神井川,久保田橋,底生生物等,2020/7/29,ヌマエビ科,カワリヌマエビ属,11
石神井川,久保田橋,底生生物等,2020/7/29,モクズガニ科,モクズガニ,1
石神井川,久保田橋,底生生物等,2020/7/29,コカゲロウ科,サホコカゲロウ,1
石神井川,久保田橋,底生生物等,2020/7/29,シマトビケラ科,ウルマーシマトビケラ,1
石神井川,緑橋,底生生物等,2020/7/29,サンカクアタマウズムシ科,アメリカツノウズムシ,1
石神井川,緑橋,底生生物等,2020/7/29,モノアラガイ科,モノアラガイ属,6
石神井川,緑橋,底生生物等,2020/7/29,ミズミミズ科,エラミミズ,1
石神井川,緑橋,底生生物等,2020/7/29,イシビル科,シマイシビル,7
石神井川,緑橋,底生生物等,2020/7/29,マミズヨコエビ科,フロリダマミズヨコエビ,1
石神井川,緑橋,底生生物等,2020/7/29,ミズムシ科,ミズムシ,12
石神井川,緑橋,底生生物等,2020/7/29,ヌマエビ科,カワリヌマエビ属,66
石神井川,緑橋,底生生物等,2020/7/29,テナガエビ科,スジエビ,1
白子川,東埼橋,底生生物等,2020/7/28,カワニナ科,チリメンカワニナ,15
白子川,東埼橋,底生生物等,2020/7/28,モノアラガイ科,ヒメモノアラガイ,1
白子川,東埼橋,底生生物等,2020/7/28,モノアラガイ科,モノアラガイ属,5
白子川,東埼橋,底生生物等,2020/7/28,サカマキガイ科,サカマキガイ,2
白子川,東埼橋,底生生物等,2020/7/28,オヨギミミズ科,オヨギミミズ科,4
白子川,東埼橋,底生生物等,2020/7/28,ミズミミズ科,ミズミミズ科,4
白子川,東埼橋,底生生物等,2020/7/28,イシビル科,シマイシビル,6
白子川,東埼橋,底生生物等,2020/7/28,オヨギダニ科,マガリアシダニ属,1
白子川,東埼橋,底生生物等,2020/7/28,マミズヨコエビ科,フロリダマミズヨコエビ,5
白子川,東埼橋,底生生物等,2020/7/28,ミズムシ科,ミズムシ,20
白子川,東埼橋,底生生物等,2020/7/28,ヌマエビ科,カワリヌマエビ属,78
白子川,東埼橋,底生生物等,2020/7/28,テナガエビ科,ミナミテナガエビ,2
白子川,東埼橋,底生生物等,2020/7/28,アメリカザリガニ科,アメリカザリガニ,4
白子川,東埼橋,底生生物等,2020/7/28,モクズガニ科,モクズガニ,1
白子川,東埼橋,底生生物等,2020/7/28,コカゲロウ科,ウスイロフトヒゲコカゲロウ,3
白子川,東埼橋,底生生物等,2020/7/28,コカゲロウ科,ウデマガリコカゲロウ,1
白子川,東埼橋,底生生物等,2020/7/28,アメンボ科,アメンボ,2
白子川,東埼橋,底生生物等,2020/7/28,ヒメトビケラ科,ヒメトビケラ属,1
白子川,東埼橋,底生生物等,2020/7/28,ヒゲナガトビケラ科,アオヒゲナガトビケラ属,1
白子川,東埼橋,底生生物等,2020/7/28,ガガンボ科,ガガンボ属,1
白子川,東埼橋,底生生物等,2020/7/28,ユスリカ科,ヒゲユスリカ属,2
白子川,東埼橋,底生生物等,2020/7/28,ヒラタドロムシ科,マスダチビヒラタドロムシ,1
白子川,白藤橋,底生生物等,2020/7/28,ミズミミズ科,エラミミズ,5
白子川,白藤橋,底生生物等,2020/7/28,ミズミミズ科,ミズミミズ科,1
白子川,白藤橋,底生生物等,2020/7/28,ツリミミズ科,ツリミミズ科,1
白子川,白藤橋,底生生物等,2020/7/28,－,ツリミミズ目,1
白子川,白藤橋,底生生物等,2020/7/28,イシビル科,シマイシビル,4
白子川,白藤橋,底生生物等,2020/7/28,ナガレビル科,ヌマイシビル,1
白子川,白藤橋,底生生物等,2020/7/28,ミズムシ科,ミズムシ,6
白子川,白藤橋,底生生物等,2020/7/28,アメンボ科,アメンボ,1
