川,場所,類,調査日,科,種名,数
石神井川,久保田橋,魚類,令和1年7月25日,コイ科,コイ,
石神井川,久保田橋,魚類,令和1年7月25日,コイ科,アブラハヤ,
石神井川,久保田橋,魚類,令和1年7月25日,コイ科,ウグイ,
石神井川,久保田橋,魚類,令和1年7月25日,コイ科,モツゴ,5
石神井川,久保田橋,魚類,令和1年7月25日,コイ科,タモロコ,
石神井川,久保田橋,魚類,令和1年7月25日,ドジョウ科,ドジョウ,1
石神井川,久保田橋,魚類,令和1年7月25日,ドジョウ科,ヒガシシマドジョウ,3
石神井川,久保田橋,魚類,令和1年7月25日,ギギ科,ギバチ,1
石神井川,緑橋,魚類,令和1年7月25日,コイ科,コイ,1
石神井川,緑橋,魚類,令和1年7月25日,コイ科,アブラハヤ,59
石神井川,緑橋,魚類,令和1年7月25日,コイ科,ウグイ,1
石神井川,緑橋,魚類,令和1年7月25日,コイ科,モツゴ,5
石神井川,緑橋,魚類,令和1年7月25日,コイ科,タモロコ,1
石神井川,緑橋,魚類,令和1年7月25日,ドジョウ科,ドジョウ,1
石神井川,緑橋,魚類,令和1年7月25日,ドジョウ科,ヒガシシマドジョウ,2
石神井川,緑橋,魚類,令和1年7月25日,ギギ科,ギバチ,
白子川,東埼橋上流,魚類,令和1年7月26日,ウナギ目,ニホンウナギ,
白子川,東埼橋上流,魚類,令和1年7月26日,コイ科,コイ,
白子川,東埼橋上流,魚類,令和1年7月26日,コイ科,コイ科,1
白子川,東埼橋上流,魚類,令和1年7月26日,ドジョウ科,ドジョウ,5
白子川,東埼橋上流,魚類,令和1年7月26日,ドジョウ科,ヒガシシマドジョウ,1
白子川,東埼橋上流,魚類,令和1年7月26日,アユ科,アユ,
白子川,東埼橋上流,魚類,令和1年7月26日,ボラ科,ボラ,
白子川,東埼橋上流,魚類,令和1年7月26日,スズキ科,スズキ,
白子川,東埼橋上流,魚類,令和1年7月26日,ハゼ科,スミウキゴリ,13
白子川,東埼橋上流,魚類,令和1年7月26日,ハゼ科,ウキゴリ,
白子川,東埼橋上流,魚類,令和1年7月26日,ハゼ科,マハゼ,
白子川,東埼橋上流,魚類,令和1年7月26日,ハゼ科,シマヨシノボリ,3
白子川,東埼橋上流,魚類,令和1年7月26日,ハゼ科,旧トウヨシノボリ類,2
白子川,東埼橋上流,魚類,令和1年7月26日,ハゼ科,ヌマチチブ,
白子川,東埼橋上流,魚類,令和1年7月26日,タイワンドジョウ科,カムルチー,
白子川,白藤橋,魚類,令和1年7月26日,ウナギ目,ニホンウナギ,1
白子川,白藤橋,魚類,令和1年7月26日,コイ科,コイ,20<
白子川,白藤橋,魚類,令和1年7月26日,コイ科,コイ科,
白子川,白藤橋,魚類,令和1年7月26日,ドジョウ科,ドジョウ,
白子川,白藤橋,魚類,令和1年7月26日,ドジョウ科,ヒガシシマドジョウ,
白子川,白藤橋,魚類,令和1年7月26日,アユ科,アユ,100<
白子川,白藤橋,魚類,令和1年7月26日,ボラ科,ボラ,6
白子川,白藤橋,魚類,令和1年7月26日,スズキ科,スズキ,1
白子川,白藤橋,魚類,令和1年7月26日,ハゼ科,スミウキゴリ,
白子川,白藤橋,魚類,令和1年7月26日,ハゼ科,ウキゴリ,1
白子川,白藤橋,魚類,令和1年7月26日,ハゼ科,マハゼ,1
白子川,白藤橋,魚類,令和1年7月26日,ハゼ科,シマヨシノボリ,
白子川,白藤橋,魚類,令和1年7月26日,ハゼ科,旧トウヨシノボリ類,
白子川,白藤橋,魚類,令和1年7月26日,ハゼ科,ヌマチチブ,100<
白子川,白藤橋,魚類,令和1年7月26日,タイワンドジョウ科,カムルチー,1
石神井川,久保田橋,底生生物等,令和1年7月25日,サンカクアタマウズムシ科,アメリカツノウズムシ,1
石神井川,久保田橋,底生生物等,令和1年7月25日,モノアラガイ科,モノアラガイ属,3
石神井川,久保田橋,底生生物等,令和1年7月25日,ヒモミミズ科,ヤマトヒモミミズ,1
石神井川,久保田橋,底生生物等,令和1年7月25日,ツリミミズ科,ツリミミズ科,1
石神井川,久保田橋,底生生物等,令和1年7月25日,ヒラタビル科,ハバヒロビル,1
石神井川,久保田橋,底生生物等,令和1年7月25日,ヒラタビル科,ヌマビル,1
石神井川,久保田橋,底生生物等,令和1年7月25日,イシビル科,シマイシビル,10
石神井川,久保田橋,底生生物等,令和1年7月25日,ナガレビル科,ヌマイシビル,1
石神井川,久保田橋,底生生物等,令和1年7月25日,マミズヨコエビ科,フロリダマミズヨコエビ,4
石神井川,久保田橋,底生生物等,令和1年7月25日,ミズムシ科（甲）,ミズムシ（甲）,2
石神井川,久保田橋,底生生物等,令和1年7月25日,ヌマエビ科,カワリヌマエビ属,111
石神井川,久保田橋,底生生物等,令和1年7月25日,モクズガニ科,モクズガニ,2
石神井川,久保田橋,底生生物等,令和1年7月25日,コカゲロウ科,サホコカゲロウ,1
石神井川,久保田橋,底生生物等,令和1年7月25日,コカゲロウ科,ウスイロフトヒゲコカゲロウ,2
石神井川,久保田橋,底生生物等,令和1年7月25日,アメンボ科,アメンボ,1
白子川,久保田橋,底生生物等,令和1年7月25日,アメンボ科,ヒメアメンボ,1
白子川,久保田橋,底生生物等,令和1年7月25日,チョウバエ科,チョウバエ科,1
白子川,久保田橋,底生生物等,令和1年7月25日,ユスリカ科,ユスリカ属,
白子川,緑橋,底生生物等,令和1年7月25日,サンカクアタマウズムシ科,アメリカツノウズムシ,3
白子川,緑橋,底生生物等,令和1年7月25日,モノアラガイ科,モノアラガイ属,17
白子川,緑橋,底生生物等,令和1年7月25日,ヒモミミズ科,ヤマトヒモミミズ,1
白子川,緑橋,底生生物等,令和1年7月25日,ツリミミズ科,ツリミミズ科,
白子川,緑橋,底生生物等,令和1年7月25日,ヒラタビル科,ハバヒロビル,2
白子川,緑橋,底生生物等,令和1年7月25日,ヒラタビル科,ヌマビル,2
白子川,緑橋,底生生物等,令和1年7月25日,イシビル科,シマイシビル,11
白子川,緑橋,底生生物等,令和1年7月25日,ナガレビル科,ヌマイシビル,
白子川,緑橋,底生生物等,令和1年7月25日,マミズヨコエビ科,フロリダマミズヨコエビ,6
白子川,緑橋,底生生物等,令和1年7月25日,ミズムシ科（甲）,ミズムシ（甲）,9
白子川,緑橋,底生生物等,令和1年7月25日,ヌマエビ科,カワリヌマエビ属,37
白子川,緑橋,底生生物等,令和1年7月25日,モクズガニ科,モクズガニ,
白子川,緑橋,底生生物等,令和1年7月25日,コカゲロウ科,サホコカゲロウ,
白子川,緑橋,底生生物等,令和1年7月25日,コカゲロウ科,ウスイロフトヒゲコカゲロウ,
白子川,緑橋,底生生物等,令和1年7月25日,アメンボ科,アメンボ,2
白子川,緑橋,底生生物等,令和1年7月25日,アメンボ科,ヒメアメンボ,2
白子川,緑橋,底生生物等,令和1年7月25日,チョウバエ科,チョウバエ科,
白子川,緑橋,底生生物等,令和1年7月25日,ユスリカ科,ユスリカ属,1
白子川,東埼橋上流,底生生物等,令和1年7月26日,カワニナ科,チリメンカワニナ,1
白子川,東埼橋上流,底生生物等,令和1年7月26日,ツリミミズ科,ツリミミズ科,1
白子川,東埼橋上流,底生生物等,令和1年7月26日,フトミミズ科,フトミミズ属,2
白子川,東埼橋上流,底生生物等,令和1年7月26日,イシビル科,シマイシビル,1
白子川,東埼橋上流,底生生物等,令和1年7月26日,マミズヨコエビ科,フロリダマミズヨコエビ,2
白子川,東埼橋上流,底生生物等,令和1年7月26日,ミズムシ科（甲）,ミズムシ（甲）,1
白子川,東埼橋上流,底生生物等,令和1年7月26日,ヌマエビ科,カワリヌマエビ属,15
白子川,東埼橋上流,底生生物等,令和1年7月26日,アメリカザリガニ科,アメリカザリガニ,10
白子川,東埼橋上流,底生生物等,令和1年7月26日,アメンボ科,アメンボ,6
白子川,東埼橋上流,底生生物等,令和1年7月26日,アメンボ科,ヒメアメンボ,1
白子川,白藤橋,底生生物等,令和1年7月26日,カワニナ科,チリメンカワニナ,
白子川,白藤橋,底生生物等,令和1年7月26日,ツリミミズ科,ツリミミズ科,
白子川,白藤橋,底生生物等,令和1年7月26日,フトミミズ科,フトミミズ属,
白子川,白藤橋,底生生物等,令和1年7月26日,イシビル科,シマイシビル,1
白子川,白藤橋,底生生物等,令和1年7月26日,マミズヨコエビ科,フロリダマミズヨコエビ,
白子川,白藤橋,底生生物等,令和1年7月26日,ミズムシ科（甲）,ミズムシ（甲）,
白子川,白藤橋,底生生物等,令和1年7月26日,ヌマエビ科,カワリヌマエビ属,2
白子川,白藤橋,底生生物等,令和1年7月26日,アメリカザリガニ科,アメリカザリガニ,
白子川,白藤橋,底生生物等,令和1年7月26日,アメンボ科,アメンボ,2
白子川,白藤橋,底生生物等,令和1年7月26日,アメンボ科,ヒメアメンボ,
