"年度[西暦]","生活相談[件]","生活保護申請[件]"
"2018","960","240"
"2019","1148","215"
"2020","1206","285"
"2021","995","303"
"2022","922","340"

"令和5年度港区行政資料集　生活相談状況","Ver202303",
