区別,所属,備考
東京都委員会,政策企画局／政策調整部／技術政策調整担当課長,
東京都委員会,都市整備局／都市づくり政策部／都市づくり政策部長,座長（特別区、市町各委員会も兼ねる）
東京都委員会,都市整備局／都市づくり政策部／土地利用計画課長,
東京都委員会,都市整備局／都市づくり政策部／政策調整担当課長,
東京都委員会,都市整備局／都市づくり政策部／緑地景観課長,事務局（特別区、市町各委員会も兼ねる）
東京都委員会,都市整備局／市街地整備部／企画課長,
東京都委員会,都市整備局／市街地建築部／建築企画課長,
東京都委員会,建設局／公園緑地部／公園計画担当部長,副座長
東京都委員会,建設局／公園緑地部／計画課長,
特別区委員会,千代田区／環境まちづくり部長,
特別区委員会,中央区／環境土木部長,
特別区委員会,港区／街づくり事業担当部長,
特別区委員会,新宿区／みどり土木部長,
特別区委員会,文京区／土木部長,
特別区委員会,台東区／土木担当部長,
特別区委員会,墨田区／都市整備部長,
特別区委員会,江東区／土木部長,
特別区委員会,品川区／都市環境部長,
特別区委員会,目黒区／都市整備部長,
特別区委員会,大田区／まちづくり推進部長,
特別区委員会,世田谷区／みどり３３推進担当部長,副座長
特別区委員会,渋谷区／土木清掃部長,
特別区委員会,中野区／都市基盤部長,
特別区委員会,杉並区／土木担当部長,
特別区委員会,豊島区／都市整備部長,
特別区委員会,北区／土木部長,
特別区委員会,荒川区／防災都市づくり部長,
特別区委員会,板橋区／土木部長,
特別区委員会,練馬区／土木部長,
特別区委員会,足立区／みどりと公園推進室長,
特別区委員会,葛飾区／都市施設担当部長,
特別区委員会,江戸川区／土木部長,
市町委員会,八王子市／まちなみ整備部長,
市町委員会,立川市／基盤整備担当部長,副座長
市町委員会,武蔵野市／環境部長,
市町委員会,三鷹市／都市整備部長,
市町委員会,青梅市／環境部長,
市町委員会,府中市／都市整備部長,
市町委員会,昭島市／都市整備部長,
市町委員会,調布市／環境部長,
市町委員会,町田市／都市づくり部長,
市町委員会,小金井市／環境部長,
市町委員会,小平市／環境部長,
市町委員会,日野市／環境共生部長,
市町委員会,東村山市／まちづくり部長,
市町委員会,国分寺市／建設環境部長,
市町委員会,国立市／生活環境部長,
市町委員会,福生市／都市建設部長,
市町委員会,狛江市／都市建設部長,
市町委員会,東大和市／環境部長,
市町委員会,清瀬市／都市整備部長,
市町委員会,東久留米市／環境安全部長,
市町委員会,武蔵村山市／都市整備部長,
市町委員会,多摩市／環境部長,
市町委員会,稲城市／都市建設部長,
市町委員会,羽村市／都市建設部長,
市町委員会,あきる野市／都市整備部長,
市町委員会,西東京市／みどり環境部長,
市町委員会,瑞穂町／都市整備部長,
市町委員会,日の出町／まちづくり課長,
