No.,重点公園・緑地／名称（主な開園名称）,優先整備区域／合計面積（m2）,優先整備区域／事業促進区域／区域（町丁目まで）,優先整備区域／事業促進区域／面積（m2）,優先整備区域／新規事業化区域／区域（町丁目まで）,優先整備区域／新規事業化区域／面積（m2）
1,三田台公園（亀塚公園、三田台公園）,6400,港区三田四丁目,200,港区三田四丁目,6200
2,隅田川公園,7700,,,台東区蔵前二丁目,7700
3,大島九丁目公園,9600,江東区大島九丁目,9600,,
4,多摩川台公園,5000,,,大田区田園調布一丁目,5000
5,洗足公園（洗足池公園）,13700,大田区南千束一・二丁目,1300,大田区南千束一・二丁目,12400
6,丸子多摩川公園（田園調布せせらぎ公園）,18200,大田区田園調布一丁目,9000,大田区田園調布一丁目,9200
7,羽田空港公園,20000,,,大田区羽田空港一・二丁目,20000
8,下代田公園（代沢せせらぎ公園）,2300,,,世田谷区代沢三丁目,2300
9,北烏山えのき公園,600,,,世田谷区北烏山九丁目,600
10,二子玉川公園,2600,世田谷区上野毛二丁目,2600,,
11,上用賀公園,31000,世田谷区上用賀四丁目,31000,,
12,玉川野毛町公園,27600,世田谷区野毛一丁目,27600,,
13,等々力渓谷公園,2100,,,世田谷区等々力一丁目、中町一丁目,2100
14,瀬田農業公園,2500,,,世田谷区瀬田五丁目,2500
15,喜多見農業公園,1200,,,世田谷区喜多見四丁目,1200
16,次大夫堀緑地（次大夫堀公園）,3000,,,世田谷区喜多見五丁目,3000
17,成城みつ池緑地,18900,,,世田谷区成城四丁目,18900
18,大蔵緑地,3000,世田谷区大蔵四丁目,3000,,
19,深沢六丁目緑地,800,,,世田谷区深沢六丁目,800
20,岡本わきみず緑地,500,,,世田谷区岡本二丁目,500
21,岡本いこいのもり緑地,300,,,世田谷区岡本一丁目,300
22,深沢二丁目緑地,2100,,,世田谷区深沢二丁目,2100
23,南烏山二丁目緑地,2200,,,世田谷区南烏山二丁目,2200
24,荻窪二丁目緑地,6600,杉並区荻窪二丁目,6600,,
25,下高井戸公園,17400,杉並区下高井戸二丁目,17400,,
26,杉並南中央公園,5800,杉並区浜田山二丁目,5800,,
27,馬橋公園,6400,杉並区高円寺北四丁目,6400,,
28,下井草三丁目公園,1100,杉並区下井草三丁目,1100,,
29,千早公園（千早フラワー公園）,600,,,豊島区千早一丁目,600
30,神谷公園,4000,,,北区神谷二丁目,4000
31,荒川緑地,56000,,,北区豊島五丁目,56000
32,飛鳥山公園,600,北区王子一丁目,600,,
33,滝野川三丁目公園,5100,北区滝野川三丁目,5100,,
34,赤羽台のもり公園,15000,北区赤羽台一丁目,15000,,
35,宮前公園,31100,荒川区東尾久八丁目、西尾久三丁目,21600,荒川区東尾久五・八丁目、西尾久二丁目,9500
36,荒川公園,3000,,,荒川区西尾久六丁目,3000
37,小竹町公園（やくも公園）,900,,,練馬区小竹町一丁目,900
38,三原台第二公園（三原台ののはな公園）,1000,練馬区三原台二丁目,1000,,
39,北原公園,1000,,,練馬区谷原六丁目,1000
40,田柄二丁目公園,2400,,,練馬区田柄二丁目,2400
41,関町南二丁目公園,700,,,練馬区関町南二丁目,700
42,大泉学園町六丁目公園,3900,,,練馬区大泉学園町六丁目,3900
43,北大泉公園（大泉町もみじやま公園）,1500,,,練馬区大泉町三丁目,1500
44,大泉学園町北公園（大泉学園町希望が丘公園）,10000,練馬区大泉学園町九丁目,10000,,
45,練馬総合運動場公園,400,,,練馬区練馬二丁目,400
46,高松農の風景公園,6700,練馬区高松二丁目,4100,練馬区高松二丁目,2600
47,土支田二丁目農業公園,2700,練馬区土支田二丁目,2700,,
48,井頭憩いの森緑地（井頭の森緑地）,2500,,,練馬区東大泉七丁目,2500
49,羽沢緑地（こどもの森）,600,練馬区羽沢二丁目,600,練馬区羽沢二丁目,
50,西大泉五丁目緑地（西大泉こさくっぱら緑地）,6800,,,練馬区西大泉五丁目,6800
51,石神井台六丁目緑地,2300,,,練馬区石神井台六丁目,2300
52,西本村の森緑地,6200,,,練馬区大泉学園町二丁目,6200
53,西新井公園,11500,足立区梅島三丁目,3900,足立区梅島三丁目,7600
54,上沼田東公園,9000,,,足立区江北六丁目,9000
55,青戸六丁目公園（青戸六丁目さくら公園）,700,葛飾区青戸六丁目,700,,
56,一之江境川緑地,1300,江戸川区一之江五丁目,1300,,
57,江戸川緑地,15100,江戸川区上篠崎一丁目,11700,江戸川区江戸川四丁目,3400
58,左近川・長島川公園,60200,江戸川区臨海一・二・三丁目及び清新町二丁目地先,60200,,
59,松島四丁目第二公園,1400,,,江戸川区松島四丁目,1400
60,一之江名主屋敷公園,8200,江戸川区春江二丁目,8200,,
,特別区事業計,491000,,268300,,222700
