項目,細項目
防災,○ 「地震に関する地域危険度測定調査（第８回）」において震災時の危険性が高いとされる地域（「建物倒壊危険度」、「火災危険度」、「総合危険度」のいずれかが４以上の地域）及び緑の基本計画等に震災時の危険度が高く公園を設置すると位置付けた地域に含まれる区域○都又は区市町が定める避難場所等としてのオープンスペースの確保並びに避難場所等の安全性向上に必要な延焼遮断及び避難距離短縮に資する区域○避難道路・主要駅等の近傍で避難者や駅前滞留者の滞留場所となる区域及び避難場所等への避難経路や延焼遮断に資する区域○大規模救出救助活動拠点等の指定区域近傍で拠点活動と競合せずに避難スペースとなる区域並びに防災拠点及び隣接する防災関連施設へのアクセス及び災害時の一体利用に必要な区域○緊急輸送道路付近
環境保全,○市街地における、緑の保全あるいは創出によりヒートアイランド現象の緩和に資する位置にあり、必要な面積を確保できる区域○丘陵地、崖線等の緑、貴重な植物の自生地や湧水・池など、自然資源としての価値が高く、保全を図るべき区域○開発の可能性が高い地域などで、樹林地・農地・水面を保全できる区域やまとまったオープンスペース等を創出する区域
レクリエーション,○公園・緑地又は誰もが利用できるオープンスペースや運動場等のレクリエーションの場が不足している区域○公園利用上の核となる運動施設、管理棟や公園周辺のサイクリングロード等と一体的利用を可能とする施設など、直ちに効果発現する施設を設置する区域
景観・魅力,○文化財、湧水や巨木・名木など、文化・歴史資源又は自然資源としての価値を持ち、東京や地域の重要なシンボルが所在する区域○東京や地域の重要なシンボルとなっている区域の景観や眺望点を保全する上で重要な区域○丘陵地、湧水、崖線（地形・樹林等）、農地の保全活用に必要な区域○周辺の観光地、市街地や商店街等と連携し、魅力的な観光地域づくりやにぎわいの創出等に資する区域
水と緑のネットワークの形成,○丘陵地、崖線、河川沿い等の東京のみどりの骨格となるみどりのうち、みどりの連続性を確保する上で重要な区域○海辺及び運河沿い並びに幹線道路沿い及び環境軸推進地区における公園・緑地の区域○農の風景育成地区や市民緑地等により保全されるみどりと一体となるみどりを保全・創出する区域○緑の基本計画等により、みどりの拠点や軸として位置付けられている区域
