機能・役割,重点化の視点
環境保全［ヒートアイランド現象の緩和、自然資源、生物多様性の保全等］,○ヒートアイランド現象の緩和・区部及びその周辺の市街地における、樹林地や水面を保全・拡大する公園・緑地・海・河川・運河等の大規模水面と市街地間の冷気の移動を可能とする位置の緑やオープンスペースを保全・創出する公園・緑地○自然資源、生物多様性の保全・丘陵地、河川沿いや崖線の緑、平地林等の樹林地、湧水*などの自然資源を保全する公園・緑地・貴重な動植物及びその生息・生育環境を保全する公園・緑地・みどりの少ない地域における樹林地等を保全・創出する公園・緑地○その他・崖線や台地部における湧水のかん養域と想定される地域の樹林地や農地等を保全・創出する公園・緑地・東部低地帯などの自然流下により雨水排出ができない地域において、雨水排出抑制に資する樹林地や水面を創出・保全する公園・緑地・大型公共施設の整備・機能更新等により創出される公開空間に植栽地や広場等を設ける公園・緑地
レクリエーション［身近な自然とのふれあいや、運動、文化活動、散策等多様な活動の場］,"○公園不足地域の解消・250メートルの範囲内に2,500平方メートル以上の公園・緑地がない地域の住区基幹公園*・2キロメートルの範囲内に10ヘクタール以上の公園・緑地がない地域の都市基幹公園*〇地域で必要とされている施設や公園の整備・運動公園、植物公園、お祭り広場、農業体験公園や水辺のある公園等"
景観・魅力［東京や地域らしさの醸成、美しい景観づくり、にぎわいの創出］,・庭園や社寺境内地等の歴史・文化資源を保全、再生、活用する公園・緑地・地域と特徴付ける自然物やランドマークとなる建物、史跡や名勝等を活用し地域の魅力向上に資する公園・緑地・湧水、崖線（地形・樹林等）や屋敷林等の自然資源を保全、活用する公園・緑地、丘陵地等の自然資源を自然体験等に活用できる公園・緑地・都市の貴重な緑地としての農地の保全活用ができる公園・緑地・都区市町の景観計画において景観への配慮が特に必要とされた景観基本軸*などの区域やその近傍において、良好な景観形成・保全に資する公園・緑地・周辺の観光地、市街地や商店街等と連携し、魅力的な観光地域づくりに資する公園・緑地・周辺のまちづくりと連携し、地域のにぎわい創出や回遊性の向上に資する公園・緑地
