No.,重点公園・緑地名称（主な開園名称）,優先整備区域／合計面積 （m2）,優先整備区域／事業促進区域／区域（町丁目まで）,優先整備区域／事業促進区域／面積（m2）,優先整備区域／新規事業化区域／区域（町丁目まで）,優先整備区域／新規事業化区域／面積（m2）
1,富士森公園,9000,八王子市台町二丁目,9000,,
2,片倉城跡公園,16900,八王子市片倉町,16900,,
3,ひよどり緑地,16300,八王子市暁町二丁目,16300,,
4,明神町広田公園,3100,八王子市明神町二丁目,3100,,
5,石川東公園,1600,,,八王子市石川町,1600
6,七国公園,20700,,,八王子市七国三丁目,20700
7,天合峰公園,967600,八王子市川口町、上川町,967600,,
8,砂川公園,2100,,,立川市砂川町七丁目,2100
9,富士見公園,800,,,立川市富士見町三丁目,800
10,立川公園,4400,立川市錦町五丁目、柴崎町六丁目,3600,立川市錦町五丁目,800
11,川越道緑地,19300,立川市幸町五丁目,2400,立川市幸町四・五丁目,16900
12,野山北・六道山公園（総合運動公園）,14000,武蔵村山市三ツ木三・四丁目、岸五丁目,13000,武蔵村山市岸三丁目,1000
13,東大和狭山緑地,29800,東大和市芋窪一丁目、蔵敷一丁目、奈良橋一丁目,29800,,
14,新川あおやぎ公園,2700,,,三鷹市新川一丁目,2700
15,新川天神山公園,4600,,,三鷹市新川二丁目,4600
16,北野中央公園,1200,,,三鷹市北野三丁目,1200
17,新川丸池公園,5500,三鷹市新川三丁目,4700,三鷹市新川三丁目,800
18,駒井公園,4400,,,狛江市駒井町二丁目,4400
19,白井塚公園,1500,狛江市中和泉三丁目,1500,,
20,土屋塚公園,300,狛江市岩戸南一丁目,300,,
21,亀塚公園,300,狛江市元和泉一丁目,300,,
22,猪方小川塚公園,200,狛江市猪方三丁目,200,,
23,吹上しょうぶ公園,5900,青梅市吹上,3200,青梅市吹上,2700
24,南文化公園,4900.08,昭島市中神町,4900.08,,
25,新畑公園,5800.09,昭島市中神町,5800.09,,
26,薬師池西公園,90000,町田市野津田町字峯、字薬師前、山崎町字七号、本町田字乙五号、字乙六号,90000,,
27,三輪緑地,202600,町田市三輪町字九号、字十号、字十一号,193000,町田市三輪町字十一号,9600
28,薬師池北緑地,69000,町田市野津田町字峯、字丸山,69000,,
29,香山緑地,17400,町田市能ヶ谷二丁目,17400,,
30,野津田公園,31000,町田市小野路町字新屋敷、字金子田,31000,,
31,小山片所谷戸緑地,6700,町田市小山町字十二号、字二十一号、小山ヶ丘三丁目,6700,,
32,小長久保公園,2400,小金井市本町五丁目,300,小金井市本町五丁目,2100
33,三楽公園,700,,,小金井市貫井南町三丁目,700
34,林間公園,18000,日野市大字落川,16700,日野市大字新井、落川,1300
35,豊田第一公園,22000,日野市豊田一・二丁目,22000,,
36,万願寺上公園,12000,日野市大字日野,12000,,
37,西平山公園,19000,日野市西平山三丁目,19000,,
38,七ッ塚公園,65200,,,日野市新町五丁目,65200
39,北川原公園,45600,,,日野市石田一丁目、万願寺二丁目,45600
40,日野緑地,2700,日野市多摩平七丁目,700,日野市大字日野,2000
41,鎌倉公園,16600,,,小平市小川町二丁目,16600
42,鷹の台公園,12900,,,小平市たかの台,12900
43,さつき公園（内藤さつき公園）,800,,,国分寺市内藤一丁目,800
44,戸倉公園,2000,,,国分寺市戸倉四丁目,2000
45,北山公園,15400,東村山市野口町三・四丁目,13700,東村山市野口町三・四丁目,1700
46,せせらぎの郷多摩湖緑地,2100,東村山市多摩湖町二丁目,2100,,
47,清瀬中央公園（中央公園）,16000,,,清瀬市梅園一丁目,16000
48,城山公園,2100,国立市大字谷保字栗原,700,国立市大字谷保字栗原,1400
49,介山記念館公園,4400,羽村市羽東一丁目,4400,,
50,稲荷緑地,17700,羽村市羽東三丁目,17700,,
51,加美緑地,1800,羽村市羽西一丁目,1800,,
52,稲荷ヶ丘公園,4900,瑞穂町箱根ケ崎字宿西,4900,,
53,一本榎公園,3000,瑞穂町殿ケ谷字榎内川添,3000,,
54,吉方公園,3700,稲城市大字矢野口字榎戸,3700,,
55,矢野口公園,3500,稲城市大字矢野口字榎戸,3500,,
56,円覚寺公園,1000,稲城市大字矢野口字宿,1000,,
57,矢野口第2公園,1700,稲城市大字矢野口字中島,1700,,
58,矢野口第4公園,900,稲城市大字矢野口字中島,900,,
59,根方谷戸公園,39000,稲城市大字矢野口字根方、字西山、字谷戸,39000,,
60,奥畑谷戸公園,84000,稲城市大字矢野口字上網、字奥畑、大字東長沼字九号、字十号、大字百村字十五号,84000,,
,市町事業計,1980700.17,,1742500.17,,238200
