"年度[西暦]","あっせん/融資","中小企業融資 件数[件]","中小企業融資 金額[円]","小規模企業小口融資 件数[件]","小規模企業小口融資 金額[円]","年末特別あっせん融資 件数[件]","年末特別あっせん融資 金額[円]","計 件数[件]","計 金額[円]"
"2018","あっせん","1236","13848150000","0","0","0","0","1236","13848150000"
"2018","融資","940","9264450000","0","0","0","0","940","9264450000"
"2019","あっせん","2302","21923290000","0","0","0","0","2302","21923290000"
"2019","融資","1090","10477080000","0","0","0","0","1090","10477080000"
"2020","あっせん","9407","84274200000","0","0","0","0","9407","84274200000"
"2020","融資","7259","55283150000","0","0","0","0","7259","55283150000"
"2021","あっせん","2364","23844240000","0","0","0","0","2364","23844240000"
"2021","融資","1828","14855520000","0","0","0","0","1828","14855520000"
"2022","あっせん","1990","18899640000","0","0","0","0","1990","18899640000"
"2022","融資","1488","11676180000","0","0","0","0","1488","11676180000"

"令和5年度港区行政資料集　中小企業融資状況","Ver202303",,,,,,,,
