 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,093,153 ","12,710,882 ","3,012,745 ","1,040,041 ","1,972,704 ","6,920,455 ","1,870,570 ","5,049,885 ","3,080,408 ","1,268,425 ","1,811,983 ","5,790,427 ","2,354,037 ","3,436,390 "
公共計,"2,834,230 ","5,718,999 ","674,767 ","163,210 ","511,557 ","1,738,582 ","300,726 ","1,437,856 ","2,159,463 ","1,183,158 ","976,305 ","3,980,417 ","2,181,410 ","1,799,007 "
ドルフィン,"9,164 ","18,452 ",-,-,-,-,-,-,"9,164 ","9,164 ",-,"18,452 ","18,452 ",-
芝浦ふ頭,"58,263 ","107,126 ",-,-,-,-,-,-,"58,263 ","1,323 ","56,940 ","107,126 ","2,377 ","104,749 "
芝浦物揚場,"9,574 ","15,388 ",-,-,-,-,-,-,"9,574 ","6,905 ","2,669 ","15,388 ","11,163 ","4,225 "
日の出ふ頭,"3,205 ","6,825 ",-,-,-,-,-,-,"3,205 ",-,"3,205 ","6,825 ",-,"6,825 "
竹芝ふ頭,"6,842 ","12,979 ",-,-,-,-,-,-,"6,842 ","4,615 ","2,227 ","12,979 ","8,846 ","4,133 "
品川岸壁,"416,866 ","932,411 ","214,854 ","51,535 ","163,319 ","551,555 ","97,976 ","453,579 ","202,012 ","117,186 ","84,826 ","380,856 ","228,062 ","152,794 "
　品川コンテナ,"212,732 ","548,059 ","207,812 ","50,338 ","157,474 ","543,139 ","96,566 ","446,573 ","4,920 ","2,460 ","2,460 ","4,920 ","2,460 ","2,460 "
　品川外貿,"7,042 ","8,416 ","7,042 ","1,197 ","5,845 ","8,416 ","1,410 ","7,006 ",-,-,-,-,-,-
　品川内貿,"197,092 ","375,936 ",-,-,-,-,-,-,"197,092 ","114,726 ","82,366 ","375,936 ","225,602 ","150,334 "
月島ふ頭,"2,279 ","4,699 ",-,-,-,-,-,-,"2,279 ","1,308 ",971 ,"4,699 ","2,451 ","2,248 "
10号西岸壁,"474,152 ","903,206 ",-,-,-,-,-,-,"474,152 ","303,742 ","170,410 ","903,206 ","574,746 ","328,460 "
10号東岸壁,"30,991 ","56,551 ",-,-,-,-,-,-,"30,991 ",88 ,"30,903 ","56,551 ",226 ,"56,325 "
東京港フェリーふ頭,"853,605 ","1,539,185 ",-,-,-,-,-,-,"853,605 ","442,800 ","410,805 ","1,539,185 ","809,110 ","730,075 "
辰巳ふ頭,"28,990 ","55,656 ",-,-,-,-,-,-,"28,990 ","13,035 ","15,955 ","55,656 ","23,768 ","31,888 "
青海コンテナふ頭（公共）,"425,259 ","1,157,733 ","404,131 ","111,675 ","292,456 ","1,117,865 ","202,750 ","915,115 ","21,128 ","15,984 ","5,144 ","39,868 ","30,701 ","9,167 "
大井食品ふ頭（OL）,"27,774 ","36,813 ","23,403 ",-,"23,403 ","29,493 ",-,"29,493 ","4,371 ",-,"4,371 ","7,320 ",-,"7,320 "
大井食品ふ頭（OM）,"7,742 ","15,032 ","7,742 ",-,"7,742 ","15,032 ",-,"15,032 ",-,-,-,-,-,-
若洲内貿ふ頭,"58,066 ","108,091 ",-,-,-,-,-,-,"58,066 ","45,272 ","12,794 ","108,091 ","79,014 ","29,077 "
15号地木材ふ頭,"1,432 ","1,432 ","1,432 ",-,"1,432 ","1,432 ",-,"1,432 ",-,-,-,-,-,-
若洲建材ふ頭,"50,592 ","92,133 ",-,-,-,-,-,-,"50,592 ","5,160 ","45,432 ","92,133 ","6,772 ","85,361 "
大井建材ふ頭,"90,409 ","174,464 ",-,-,-,-,-,-,"90,409 ",-,"90,409 ","174,464 ",-,"174,464 "
城南島建設発生土ふ頭,"149,100 ","272,040 ",-,-,-,-,-,-,"149,100 ","149,100 ",-,"272,040 ","272,040 ",-
中央防波堤内側ばら物ふ頭,"30,933 ","35,151 ","23,205 ",-,"23,205 ","23,205 ",-,"23,205 ","7,728 ","4,743 ","2,985 ","11,946 ","6,353 ","5,593 "
中央防波堤内側建設発生土ふ頭,"22,888 ","33,496 ",-,-,-,-,-,-,"22,888 ","22,888 ",-,"33,496 ","33,496 ",-
中央防波堤内側内貿ふ頭,"76,104 ","140,136 ",-,-,-,-,-,-,"76,104 ","39,845 ","36,259 ","140,136 ","73,833 ","66,303 "
東京港埠頭㈱計,"2,293,082 ","5,010,129 ","2,191,904 ","831,392 ","1,360,512 ","4,823,621 ","1,497,946 ","3,325,675 ","101,178 ","40,747 ","60,431 ","186,508 ","77,134 ","109,374 "
青海コンテナふ頭(埠頭㈱),"421,528 ","1,002,610 ","409,399 ","129,681 ","279,718 ","979,096 ","236,863 ","742,233 ","12,129 ","11,709 ",420 ,"23,514 ","23,094 ",420 
お台場ライナーふ頭,"45,182 ","123,165 ","40,593 ","38,750 ","1,843 ","112,034 ","87,993 ","24,041 ","4,589 ","1,349 ","3,240 ","11,131 ","3,001 ","8,130 "
大井コンテナふ頭,"1,826,372 ","3,884,354 ","1,741,912 ","662,961 ","1,078,951 ","3,732,491 ","1,173,090 ","2,559,401 ","84,460 ","27,689 ","56,771 ","151,863 ","51,039 ","100,824 "
民間計,"965,841 ","1,981,754 ","146,074 ","45,439 ","100,635 ","358,252 ","71,898 ","286,354 ","819,767 ","44,520 ","775,247 ","1,623,502 ","95,493 ","1,528,009 "
,,,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
