 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"231,991","86,922","518,248","195,352","89,817","83,319","160,474","189,605","142,174","3,603","357,774","5,747"
,87.3%,78.3%,94.5%,87.5%,105.4%,76.6%,104.5%,86.6%,78.7%,161.6%,90.6%,129.6%
外航計,"208,712","65,415","474,995","160,752","77,433","64,159","137,378","158,827","131,279","1,256","337,617","1,925"
,84.8%,69.7%,93.3%,83.1%,102.2%,68.8%,102.3%,82.6%,77.0%,220.0%,90.1%,148.4%
外航定期計,"208,712","65,415","474,995","160,752","77,433","64,159","137,378","158,827","131,279","1,256","337,617","1,925"
,84.8%,69.7%,93.3%,83.1%,102.2%,68.8%,102.3%,82.6%,77.0%,220.0%,90.1%,148.4%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"18,779","11,159","40,876","23,424","4,726","10,646","9,160","22,579","14,053",513,"31,716",845
,49.5%,98.2%,57.0%,97.8%,29.5%,94.2%,33.5%,96.0%,64.2%,855.0%,71.4%,192.9%
北米東岸(カリビア海含む),"9,516","1,707","16,689","2,989","4,741","1,706","8,024","2,986","4,775",1,"8,665",3
,94.3%,50.8%,95.3%,50.9%,90.4%,50.8%,96.2%,50.9%,98.5%,25.0%,94.5%,75.0%
北欧・地中海,"34,169","2,570","64,996","4,731","18,610","2,320","32,216","4,462","15,559",250,"32,780",269
,220.3%,90.6%,192.9%,94.0%,251.5%,82.5%,232.7%,89.7%,191.9%,925.9%,165.1%,471.9%
南米西岸,"3,013","2,184","6,078","4,005",443,"1,981",693,"3,757","2,570",203,"5,385",248
,95.8%,68.6%,94.6%,76.8%,116.9%,62.3%,85.7%,72.1%,92.9%,5075.0%,95.8%,6200.0%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
