 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,794","13,120,795","3,533","26,841,776",615,"11,222,218","1,278","23,157,014"
外航計,353,"9,389,167",770,"19,642,512",336,"9,158,759",735,"19,180,980"
外航定期計,336,"9,158,759",737,"19,257,104",336,"9,158,759",735,"19,180,980"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),23,"1,544,439",53,"3,488,667",23,"1,544,439",53,"3,488,667"
北米東岸(カリビア海含む),14,"891,878",24,"1,569,263",14,"891,878",24,"1,569,263"
北欧・地中海,11,"1,093,092",21,"2,079,670",11,"1,093,092",21,"2,079,670"
南米西岸,4,"489,911",8,"1,025,674",4,"489,911",8,"1,025,674"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"183,145",8,"361,128",4,"183,145",8,"361,128"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,126,"3,277,531",266,"6,787,455",126,"3,277,531",266,"6,787,455"
台湾,-,-,-,-,-,-,-,-
韓国,43,"364,783",85,"726,900",43,"364,783",85,"726,900"
中国(香港含む),111,"1,313,980",272,"3,218,347",111,"1,313,980",270,"3,142,223"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,17,"230,408",33,"385,408",-,-,-,-
内航計,"1,441","3,731,628","2,763","7,199,264",279,"2,063,459",543,"3,976,034"
内航定期計,505,"2,657,699",967,"5,056,528",258,"1,955,759",486,"3,723,860"
北海道,97,"1,075,141",198,"2,097,317",97,"1,075,141",198,"2,097,317"
東北,58,"41,942",103,"74,397",58,"41,942",103,"74,397"
関東,72,"23,480",151,"52,383",-,-,-,-
伊豆諸島,147,"324,652",278,"623,213",-,-,-,-
中部,16,"13,714",28,"22,702",16,"13,714",28,"22,702"
近畿,13,"9,737",20,"14,980",13,"9,737",20,"14,980"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,77,"905,843",143,"1,686,945",49,"552,035",91,"1,029,873"
沖縄,25,"263,190",46,"484,591",25,"263,190",46,"484,591"
内航不定期,936,"1,073,929","1,796","2,142,736",21,"107,700",57,"252,174"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
