 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,794 ","13,120,795 ","3,533 ","26,841,776 ",353 ,"9,389,167 ",770 ,"19,642,512 ","1,441 ","3,731,628 ","2,763 ","7,199,264 "
公共計,947 ,"4,955,328 ","1,821 ","9,807,511 ",142 ,"2,003,819 ",303 ,"4,214,825 ",805 ,"2,951,509 ","1,518 ","5,592,686 "
ドルフィン,5 ,"3,241 ",11 ,"6,722 ",-,-,-,-,5 ,"3,241 ",11 ,"6,722 "
芝浦ふ頭,32 ,"90,664 ",63 ,"158,747 ",-,-,-,-,32 ,"90,664 ",63 ,"158,747 "
芝浦物揚場,23 ,"10,580 ",40 ,"18,400 ",-,-,-,-,23 ,"10,580 ",40 ,"18,400 "
日の出ふ頭,9 ,"6,077 ",17 ,"11,957 ",-,-,-,-,9 ,"6,077 ",17 ,"11,957 "
竹芝ふ頭,152 ,"370,509 ",288 ,"714,927 ",-,-,-,-,152 ,"370,509 ",288 ,"714,927 "
品川岸壁,136 ,"1,541,055 ",277 ,"3,134,698 ",67 ,"667,159 ",145 ,"1,445,403 ",69 ,"873,896 ",132 ,"1,689,295 "
 品川コンテナ,68 ,"624,375 ",148 ,"1,392,291 ",63 ,"612,431 ",140 ,"1,376,993 ",5 ,"11,944 ",8 ,"15,298 "
 品川外貿,4 ,"54,728 ",5 ,"68,410 ",4 ,"54,728 ",5 ,"68,410 ",-,-,-,-
 品川内貿,64 ,"861,952 ",124 ,"1,673,997 ",-,-,-,-,64 ,"861,952 ",124 ,"1,673,997 "
晴海ふ頭,1 ,"22,472 ",6 ,"35,919 ",1 ,"22,472 ",1 ,"22,472 ",-,-,5 ,"13,447 "
月島ふ頭,21 ,"6,247 ",44 ,"13,202 ",-,-,-,-,21 ,"6,247 ",44 ,"13,202 "
漁業基地,-,-,1 ,986 ,-,-,-,-,-,-,1 ,986 
