 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,28,52,28,52,
,総トン数,,"353,808","657,072","353,808","657,072",
取扱貨物,計,計,"853,605","1,539,185","853,605","1,539,185",
,,出荷,"442,800","809,110","442,800","809,110",
,,入荷,"410,805","730,075","410,805","730,075",
取　扱　台　数,バ　ス,計,5,11,5,11,
,,出荷,1,2,1,2,
,,入荷,4,9,4,9,
,トラック,計,"7,810","14,007","7,810","14,007",
,,出荷,"4,107","7,454","4,107","7,454",
,,入荷,"3,703","6,553","3,703","6,553",
,乗用車,計,"3,766","7,688","3,766","7,688",
,,出荷,"2,166","4,394","2,166","4,394",
,,入荷,"1,600","3,294","1,600","3,294",
乗降人員,計,,"1,809","4,277","1,809","4,277",
,乗船,,"1,086","2,112","1,086","2,112",
,降船,,723,"2,165",723,"2,165",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
