 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,093,153","2,308,466","3,784,687","12,710,882","4,224,607","8,486,275","3,818,820","1,542,657","2,276,163","8,438,353","2,812,783","5,625,570"
外航計,"3,012,745","1,040,041","1,972,704","6,920,455","1,870,570","5,049,885","2,916,370","1,001,291","1,915,079","6,728,809","1,782,577","4,946,232"
外航定期計,"2,916,370","1,001,291","1,915,079","6,742,446","1,782,812","4,959,634","2,916,370","1,001,291","1,915,079","6,728,809","1,782,577","4,946,232"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"274,302","64,754","209,548","601,379","124,776","476,603","274,302","64,754","209,548","601,379","124,776","476,603"
北米東岸(カリビア海含む),"124,121","54,901","69,220","220,908","95,022","125,886","124,121","54,901","69,220","220,908","95,022","125,886"
北欧・地中海,"474,508","247,254","227,254","908,770","431,299","477,471","474,508","247,254","227,254","908,770","431,299","477,471"
南米西岸,"42,487","4,927","37,560","86,304","7,123","79,181","42,487","4,927","37,560","86,304","7,123","79,181"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"21,759","1,879","19,880","37,582","3,475","34,107","21,759","1,879","19,880","37,582","3,475","34,107"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,350,178","446,556","903,622","3,057,927","818,874","2,239,053","1,350,178","446,556","903,622","3,057,927","818,874","2,239,053"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"116,983","29,944","87,039","244,122","58,003","186,119","116,983","29,944","87,039","244,122","58,003","186,119"
中国(香港含む),"512,032","151,076","360,956","1,585,454","244,240","1,341,214","512,032","151,076","360,956","1,571,817","244,005","1,327,812"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"96,375","38,750","57,625","178,009","87,758","90,251",-,-,-,-,-,-
内航計,"3,080,408","1,268,425","1,811,983","5,790,427","2,354,037","3,436,390","902,450","541,366","361,084","1,709,544","1,030,206","679,338"
内航定期計,"1,772,857","993,155","779,702","3,291,293","1,850,013","1,441,280","867,616","526,621","340,995","1,637,470","995,268","642,202"
北海道,"275,729","150,790","124,939","530,457","300,248","230,209","275,729","150,790","124,939","530,457","300,248","230,209"
東北,"44,720","23,584","21,136","71,644","36,846","34,798","44,720","23,584","21,136","71,644","36,846","34,798"
関東,"44,794","19,119","25,675","101,659","36,789","64,870",-,-,-,-,-,-
伊豆諸島,"6,842","4,615","2,227","12,979","8,846","4,133",-,-,-,-,-,-
中部,"7,503",857,"6,646","13,555","1,322","12,233","7,503",857,"6,646","13,555","1,322","12,233"
近畿,"7,956","2,376","5,580","11,428","3,092","8,336","7,956","2,376","5,580","11,428","3,092","8,336"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,270,887","703,784","567,103","2,330,886","1,300,591","1,030,295","417,282","260,984","156,298","791,701","491,481","300,220"
沖縄,"114,426","88,030","26,396","218,685","162,279","56,406","114,426","88,030","26,396","218,685","162,279","56,406"
内航不定期,"1,307,551","275,270","1,032,281","2,499,134","504,024","1,995,110","34,834","14,745","20,089","72,074","34,938","37,136"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
