"年度","開示","訂正","削除","目的外利用中止","外部提供中止"
"2013","84","0","0","0","0"
"2014","93","0","0","0","0"
"2015","83","0","0","0","0"
"2016","91","0","0","0","0"
"2017","90","1","1","0","0"

"平成30年度港区行政資料集　自己情報開示等請求件数","Ver201803",,,,
