"コンテスト名称","応募者数[人]","応募作品件数[作品]","応募者住所勤務先 区内[人]","応募者住所勤務先 区外[人]","応募者分類 個人[人]","応募者分類 グループ[グループ]","応募者分類 法人[法人]","応募者職業 小学生[人]","応募者職業 中学生[人]","応募者職業 高校生[人]","応募者職業 専門学校生[人]","応募者職業 大学生・大学院生[人]","応募者職業 会社員[人]","応募者職業 公務員[人]","応募者職業 自営業[人]","応募者職業 主婦[人]","応募者職業 その他[人]"
"令和元年度「港区オープンデータアプリコンテスト」","168","168","15","153","160","4","4","0","0","1","0","147","6","2","2","2","8"

"アプリコンテスト 応募者統計","Ver202003",,,,,,,,,,,,,,,,
