,平成23年,平成24年,平成25年,平成26年,平成27年
早慶レガッタ,,28000,30000,30000,30000
墨堤さくらまつり,,270000,200000,150000,156000
隅田川花火大会,901000,954000,788000,965000,963000
吾妻橋フェスト,,12200,9000,10000,11000
すみだまつり・こどもまつり,290000,270000,290000,190000,300000
隅田川七福神めぐり,24000,20300,20200,15300,18000
納涼の夕べ,5500,6500,5500,6000,6000
吉良祭・元禄市,55000,45000,45000,50000,45000
隅田川レガッタ,5000,5000,,5000,
両国にぎわい祭り,,70000,70000,68000,83000
ご当地キャラクターフェスティバルinすみだ,,,120000,120000,120000
