,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
吾妻橋観光案内所（吾妻橋３－４－５）,総合利用人数[人],18838,21279,15532,14699,14961
吾妻橋観光案内所（吾妻橋３－４－５）,うち外国人[人],1331,3224,1911,3040,2906
両国観光案内所（両国２－１９－１）平成22年開設,総合利用人数[人],20727,20068,20139,19296,18524
両国観光案内所（両国２－１９－１）平成22年開設,うち外国人[人],936,1483,1288,2318,2488
江戸東京博物館観光案内所（横網１－４－１）,入館者数[人],1204030,1124902,1332923,974969,1629142
