,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
両国国技館,300000,450000,450000,450000,450000
江戸東京博物館,1204030,1124902,1332923,974969,1629142
向島百花園,149874,138918,143212,133572,151412
トリフォニーホール,235297,257076,268726,255315,250805
花火資料館,4784,4762,6085,4703,5343
郷土文化資料館,15203,16960,12616,13898,15221
東武博物館,123411,126766,124193,121543,124643
相撲博物館,53782,55315,61138,49171,72815
小さな博物館,19071,29621,27988,28957,36021
本所防災館,120000,120122,121856,115890,116210
シアターχ,31274,35077,27333,30105,29681
東京スカイツリー,,5540000,6190000,5310000,4790000
