"年度[和暦]","可燃ごみ[t]","不燃ごみ[t]","粗大ごみ[t]","管路収集[t]","合計[t]"
"平成16年度","47209","14224","1698","2972","66103"
"平成17年度","46460","15034","1815","2881","66190"
"平成18年度","46649","15439","1998","2567","66653"
"平成19年度","46318","14240","1582","2278","64418"
"平成20年度","48488","7121","1393","2268","59270"
"平成21年度","49709","2530","1494","2139","55872"
"平成22年度","48376","2625","1668","2005","54674"
"平成23年度","48077","2599","2021","2038","54735"
"平成24年度","47649","2454","2071","2098","54272"
"平成25年度","46992","2339","2138","2238","53707"
"平成26年度","46993","2121","2148","2204","53466"
"平成27年度","47185","2151","2269","2273","53878"
"平成28年度","47199","2080","2169","2236","53685"
"平成29年度","47943","2093","2204","2303","54543"
"平成30年度","48142","2120","2388","2283","54933"
"令和元年度","48407","2077","2381","2258","55123"
"令和2年度","48948","1950","2641","1503","55042"
"令和3年度","47595","1862","2760","1556","53773"

"ごみ収集量","Ver202304",,,,
