"年度[西暦]","アメリカ[人]","韓国及び朝鮮[人]","中国[人]","イギリス[人]","フィリピン[人]","フランス[人]","ドイツ[人]","その他[人]","合計[人]"
"2015","3293","3415","3298","780","960","787","356","6060","18949"
"2016","3182","3416","3578","849","1039","782","379","6134","19359"
"2017","3304","3456","3825","881","1043","818","371","6274","19972"
"2018","3349","3504","3958","892","1038","755","374","6407","20277"
"2019","3120","3515","4325","878","1054","748","391","6556","20587"

"令和2年度港区行政資料集　外国人住民数","Ver202003",,,,,,,,
