"子局番号","拡声子局","所在地","経度","緯度","分類"
"1","東京大学教育学部附属中等教育学校","南台１－１５－１","139.672733726332","35.6856677196881","防災行政無線"
"2","リ・ライフ南台","南台３－１－１５","139.669205188417","35.6828790700268","防災行政無線"
"3","旧多田小学校","南台３－４４－９","139.664723534318","35.6842284833812","防災行政無線"
"4","南台小学校","南台４－４－１","139.668317372487","35.6818569393973","防災行政無線"
"5","南台さくら公園","南台４－３７－１５","139.665877528629","35.6799712888561","防災行政無線"
"6","南中野中学校","南台５－２２－１７","139.662432365158","35.6825689768881","防災行政無線"
"7","中野本郷小学校","弥生町１－２５－１","139.679672509467","35.6921565312977","防災行政無線"
"8","アパートメンツ中野弥生町","弥生町１－３３－５","139.678263120097","35.6887509343191","防災行政無線"
"9","花見公園","弥生町２－７","139.676841096207","35.6924698384416","防災行政無線"
"10","ぱんだ公園","弥生町３－３４","139.673919923003","35.6887203730653","防災行政無線"
"11","みなみの小学校","弥生町４－２７－１１","139.670222901508","35.6874122414422","防災行政無線"
"12","れんげ公園","弥生町５－８","139.664884599274","35.6882997118158","防災行政無線"
"13","寿橋","弥生町５－２６","139.668685719353","35.6910839073059","防災行政無線"
"14","丸太公園","弥生町６－２","139.662268651427","35.6865646739892","防災行政無線"
"15","淀橋","本町１－１４","139.685755624267","35.6954864314164","防災行政無線"
"16","本一公園","本町１－２３","139.682612174165","35.6942098010214","防災行政無線"
"17","中野第一小学校","本町３－１６－１","139.677385077537","35.6959898098946","防災行政無線"
"18","宮の台児童遊園","本町４－８－１６","139.673277977846","35.6956683101529","防災行政無線"
"19","中野消防署","中央３－２５－３","139.67348605029","35.6979990421657","防災行政無線"
"20","第二中学校","本町５－２５－１","139.671354406024","35.692561222401","防災行政無線"
"21","鍋横区民活動センター","本町５－４７－１３","139.668036299239","35.6936428672459","防災行政無線"
"22","杉山公園","本町６－１５","139.667245915299","35.6970214033015","防災行政無線"
"23","本六公園","本町６－３０","139.66351066181","35.6959005833151","防災行政無線"
"24","ゆりの木公園","中央１－２０","139.687213599135","35.6988505861885","防災行政無線"
"25","中野東中学校","中央１－４１－４","139.683590107085","35.6986346654687","防災行政無線"
"26","塔山小学校","中央１－４９－１","139.683745675354","35.7008431179998","防災行政無線"
