"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201404,"集積所回収","資源プラスチック",226710,-3
201404,"集積所回収","古紙",676890,+2
201404,"集積所回収","びん・缶",352537,-2
201404,"集積所回収","ペットボトル",73130,+4
201404,"拠点回収","紙パック",90,-53
201404,"拠点回収","使用済み乾電池",0,"―"
201404,"拠点回収","ペットボトル",6820,+9
201404,"拠点回収","使用済み小型家電製品",127,+67
201404,"拠点回収","古着",1740,"―"
201404,"拠点回収","蛍光灯",18,"―"
201404,"拠点回収","ペットボトルキャップ",5,"―"
201404,"拠点回収","廃食用油",0,"―"
201404,"ピックアップ回収","金属製品等(不燃ごみからの回収)",28230,+44
201404,"ピックアップ回収","コード類(不燃ごみからの回収)",1740,+91
201404,"ピックアップ回収","蛍光灯",0,"―"
201404,"ピックアップ回収","金属製品等(粗大ごみからの回収)",22500,+16
201404,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201404,"店頭回収(東京ルール3回収)","ペットボトル",12630,+12
201405,"集積所回収","資源プラスチック",223580,-4
201405,"集積所回収","古紙",627220,+1
201405,"集積所回収","びん・缶",365004,-1
201405,"集積所回収","ペットボトル",80490,+2
201405,"拠点回収","紙パック",110,-52
201405,"拠点回収","使用済み乾電池",0,"―"
201405,"拠点回収","ペットボトル",7890,-7
201405,"拠点回収","使用済み小型家電製品",86,-25
201405,"拠点回収","古着",1840,"―"
201405,"拠点回収","蛍光灯",8,+14
201405,"拠点回収","ペットボトルキャップ",0,"―"
201405,"拠点回収","廃食用油",0,"―"
201405,"ピックアップ回収","金属製品等(不燃ごみからの回収)",25960,+109
201405,"ピックアップ回収","コード類(不燃ごみからの回収)",1850,+249
201405,"ピックアップ回収","蛍光灯",0,"―"
201405,"ピックアップ回収","金属製品等(粗大ごみからの回収)",22670,+24
201405,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201405,"店頭回収(東京ルール3回収)","ペットボトル",14120,+11
201406,"集積所回収","資源プラスチック",209290,-1
201406,"集積所回収","古紙",595180,3
201406,"集積所回収","びん・缶",342863,-1
201406,"集積所回収","ペットボトル",82470,6
201406,"拠点回収","紙パック",210,-25
201406,"拠点回収","使用済み乾電池",0,"―"
201406,"拠点回収","ペットボトル",7170,-1
201406,"拠点回収","使用済み小型家電製品",84,-12
201406,"拠点回収","古着",1580,"―"
201406,"拠点回収","蛍光灯",7,-56
201406,"拠点回収","ペットボトルキャップ",43,"―"
201406,"拠点回収","廃食用油",0,"―"
201406,"ピックアップ回収","金属製品等(不燃ごみからの回収)",25860,197
201406,"ピックアップ回収","コード類(不燃ごみからの回収)",1780,889
201406,"ピックアップ回収","蛍光灯",2040,"―"
201406,"ピックアップ回収","金属製品等(粗大ごみからの回収)",20420,-2
201406,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201406,"店頭回収(東京ルール3回収)","ペットボトル",14570,13
201407,"集積所回収","資源プラスチック",220720,-2
201407,"集積所回収","古紙",658000,1
201407,"集積所回収","びん・缶",359991,-3
201407,"集積所回収","ペットボトル",91230,1
201407,"拠点回収","紙パック",150,-40
201407,"拠点回収","使用済み乾電池",0,"―"
201407,"拠点回収","ペットボトル",8790,4
201407,"拠点回収","使用済み小型家電製品",56,-12
201407,"拠点回収","古着",0,"―"
201407,"拠点回収","蛍光灯",10,233
201407,"拠点回収","ペットボトルキャップ",0,"―"
201407,"拠点回収","廃食用油",34,"―"
201407,"ピックアップ回収","金属製品等(不燃ごみからの回収)",24310,58
201407,"ピックアップ回収","コード類(不燃ごみからの回収)",1690,149
201407,"ピックアップ回収","蛍光灯",744,"―"
201407,"ピックアップ回収","金属製品等(粗大ごみからの回収)",21050,12
201407,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",165,"―"
201407,"店頭回収(東京ルール3回収)","ペットボトル",17220,4
201408,"集積所回収","資源プラスチック",204270,-4
201408,"集積所回収","古紙",563020,-3
201408,"集積所回収","びん・缶",339280,-6
201408,"集積所回収","ペットボトル",90520,-3
201408,"拠点回収","紙パック",200,-35
201408,"拠点回収","使用済み乾電池",2122,"―"
201408,"拠点回収","ペットボトル",8280,-14
201408,"拠点回収","使用済み小型家電製品",125,45
201408,"拠点回収","古着",2060,33
201408,"拠点回収","蛍光灯",5,-58
201408,"拠点回収","ペットボトルキャップ",20,"―"
201408,"拠点回収","廃食用油",0,"―"
201408,"ピックアップ回収","金属製品等(不燃ごみからの回収)",26160,57
201408,"ピックアップ回収","コード類(不燃ごみからの回収)",1500,60
201408,"ピックアップ回収","蛍光灯",0,"―"
201408,"ピックアップ回収","金属製品等(粗大ごみからの回収)",18210,-7
201408,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201408,"店頭回収(東京ルール3回収)","ペットボトル",16910,-1
201409,"集積所回収","資源プラスチック",216120,7
201409,"集積所回収","古紙",612650,2
201409,"集積所回収","びん・缶",341322,2
201409,"集積所回収","ペットボトル",83510,-2
201409,"拠点回収","紙パック",160,-24
201409,"拠点回収","使用済み乾電池",0,"―"
201409,"拠点回収","ペットボトル",7100,-10
201409,"拠点回収","使用済み小型家電製品",99,38
201409,"拠点回収","古着",1140,"―"
201409,"拠点回収","蛍光灯",14,"―"
201409,"拠点回収","ペットボトルキャップ",38,"―"
201409,"拠点回収","廃食用油",0,"―"
201409,"ピックアップ回収","金属製品等(不燃ごみからの回収)",25020,34
201409,"ピックアップ回収","コード類(不燃ごみからの回収)",1670,90
201409,"ピックアップ回収","蛍光灯",942,"―"
201409,"ピックアップ回収","金属製品等(粗大ごみからの回収)",19560,1
201409,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201409,"店頭回収(東京ルール3回収)","ペットボトル",14830,4
201410,"集積所回収","資源プラスチック",220670,-3
201410,"集積所回収","古紙",633110,-4
