"区分","面積[平法キロメートル]","人口[人]","世帯数","全産業事業所数","全産業従業者数[人]","公道延長[メートル]","公園面積[平法メートル]","１人当たり公園面積[平法メートル]","新設着工住宅戸数","平成30年度 特別区税額[円]","平成30年度 財調収入[円]"
"23区総計","627.57","9611286","5279629","526748","8066791","11976665","41264330.38","4.3","111852","1086373011000 ","1012433020000 "
"千代田","11.66","66520","37461","34250","1038143","175573","1709325.55","26.49","1113","19816187000 ","3474304000 "
"中央","10.21","170193","95875","37869","756052","194262","613383.19","3.76","1697","29511731000 ","19114076000 "
"港","20.37","261402","148378","39375","1014842","303739","1406520.01","5.45","3510","78379327000 ","0 "
"新宿","18.22","346643","220080","33602","693036","356822","1145767.62","3.3","4630","49409385000 ","27230986000 "
"文京","11.29","227499","124387","14316","226335","207455","553078.05","2.38","1629","33665666000 ","17842261000 "
"台東","10.11","203446","122529","24446","246917","258517","773676.65","3.74","4369","22514786000 ","26728874000 "
"墨田","13.77","276068","155241","16884","179072","296931","781806.37","2.92","4002","24635767000 ","40193923000 "
"江東","40.16","527619","275270","19112","375745","395914","4464886.64","8.64","8650","52174058000 ","58235562000 "
"品川","22.84","407820","229423","21609","412700","388434","1370586.89","3.37","5570","48566603000 ","45827689000 "
"目黒","14.67","283132","159812","12211","141132","359120","489913.97","1.71","2347","45090769000 ","14467261000 "
"大田","60.83","738592","401818","31432","375194","853791","2937434.13","3.98","8717","75174817000 ","72120542000 "
"世田谷","58.05","923594","492498","28994","288580","1186345","2887007.3","3.09","9350","122430224000 ","54288497000 "
"渋谷","15.11","231599","141079","28613","503767","271849","1631396.81","7","3098","52599024000 ","2681242000 "
"中野","15.59","336670","209184","12917","128078","368778","466056.36","1.37","3993","34253903000 ","35856780000 "
"杉並","34.06","576652","328002","20592","173874","688836","1187964.62","2.04","5807","66080519000 ","42900632000 "
"豊島","13.01","289249","179796","19938","279586","307894","206951.47","0.69","3193","33054714000 ","31136323000 "
"北","20.61","354726","199752","13701","142168","375053","1081409.67","3.07","4733","29391945000 ","54789236000 "
"荒川","10.16","217357","117445","9899","85115","215350","436300","2","2193","17553888000 ","38573373000 "
"板橋","32.22","572522","316834","19343","213374","740479","1945025.95","3.35","6381","46593465000 ","68339128000 "
"練馬","48.08","742396","381589","21426","195639","1139823","2137062.93","2.9","7688","67357129000 ","83960662000 "
"足立","53.25","693026","356772","25887","236348","1059280","3264328.08","4.79","8886","49217015000 ","106949304000 "
"葛飾","34.8","465197","238716","17953","142902","753524","2006819.57","4.42","5221","34143571000 ","75290369000 "
"江戸川","49.9","699364","347688","21840","196949","1078896","7732868.6","11.15","5075","54758518000 ","92431996000 "
"境界未定","8.6",,,"539","21243",,,,,,
"23区に占める港区の割合[%]","3.25","2.72","2.81","7.48","12.58","2.54","3.41","126.74","3.14","7.21","0.00"
"順位","12","17","17","1","2","16","11","5","16","2","23"

"令和2年度港区行政資料集　２３区勢一覧","Ver202003",,,,,,,,,,
