"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度[西暦]","2022",,
"期間（自）","20220401",,
"期間（至）","20230331",,
"前年度末純資産残高","3584598","3583930","668"
"本年度純資産変動額 本年度差額 純行政コスト","-180500",,"-180500"
"本年度純資産変動額 本年度差額 財源","197620",,"197620"
"本年度純資産変動額 本年度差額 財源 税収等","136842",,"136842"
"本年度純資産変動額 本年度差額 財源 国都等補助金","60778",,"60778"
"本年度純資産変動額 本年度差額","17120",,"17120"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"17797","-17797"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"22327","-22327"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-12894","12894"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"16790","-16790"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-8426","8426"
"本年度純資産変動額 資産評価差額","-","-",
"本年度純資産変動額 無償所管換等","4477","4477",
"本年度純資産変動額 その他","-","-","-"
"本年度純資産変動額","21597","22274","-677"
"本年度末純資産残高","3606195","3606203","-9"

"全体会計財務書類（純資産変動計算書）(令和4年4月1日から令和5年3月31日)","Ver202303",,
