"年度[西暦]","老人クラブ数","会員数[人]"
"2019","52","2561"
"2020","49","2443"
"2021","48","2319"
"2022","47","2207"
"2023","45","2073"

"令和5年度港区行政資料集　老人クラブ数及び会員数","Ver202304",
