階層コード,地域コード,地域,人口総数／2024-03-01,人口総数／2024-02-01,人口総数／2023-03-01,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13908387,13910355,13834844,-1968,-0.01 ,73543,0.53 
1,13100,区部,9644894,9644281,9568258,613,0.01 ,76636,0.80 
1,13200,市部,4184880,4187412,4187198,-2532,-0.06 ,-2318,-0.06 
1,13300,郡部,54916,54921,55296,-5,-0.01 ,-380,-0.69 
1,13350,島部,23697,23741,24092,-44,-0.19 ,-395,-1.64 
,,,,,,,,,
住民基本台帳による世帯と人口_令和6年3月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
