"地域別","備蓄倉庫 設置箇所[か所]","備蓄倉庫 面積[平方メートル]","消火器設置本数[本]"
"芝","40","5134","356"
"麻布","25","2018","278"
"赤坂","20","1594","268"
"高輪","20","1609","346"
"芝浦港南","24","2948","186"
"合計","129","13303","1434"

"令和5年度港区行政資料集　備蓄倉庫・消火器設置状況","Ver202304",,
