"名称","住所","経度","緯度","分類"
"東部区民活動センター","中野区中央二丁目18番21号","139.682485610715","35.7004229776672","区民活動センター"
"桃園区民活動センター","中野区中央四丁目57番1号","139.667329508614","35.7022896069225","区民活動センター"
"昭和区民活動センター","中野区中野六丁目16番20号","139.674988727722","35.707320861026","区民活動センター"
"東中野区民活動センター","中野区東中野五丁目27番5号","139.690363131841","35.7102226558072","区民活動センター"
"上高田区民活動センター","中野区上高田二丁目11番1号","139.672564451814","35.7115506405589","区民活動センター"
"新井区民活動センター","中野区新井三丁目11番4号","139.663561935998","35.714251744636","区民活動センター"
"江古田区民活動センター","中野区江原町二丁目3番15号","139.669746450145","35.7288001639687","区民活動センター"
"沼袋区民活動センター","中野区沼袋二丁目40番18号","139.663046943301","35.7236111514129","区民活動センター"
"野方区民活動センター","中野区野方五丁目3番1号","139.653372525234","35.7183322407295","区民活動センター"
"南中野区民活動センター","中野区弥生町五丁目5番2号","139.666354101205","35.6861567510087","区民活動センター"
"弥生区民活動センター","中野区弥生町一丁目58番14号","139.678453378405","35.6923674003137","区民活動センター"
"鍋横区民活動センター","中野区本町五丁目47番13号","139.668036299239","35.6936428672459","区民活動センター"
"大和区民活動センター","中野区大和町二丁目44番6号","139.648953461681","35.713582810141","区民活動センター"
"鷺宮区民活動センター","中野区鷺宮三丁目22番5号","139.639785640592","35.7234334241724","区民活動センター"
"上鷺宮区民活動センター","中野区上鷺宮三丁目7番6号","139.632135775489","35.7318951940426","区民活動センター"
