区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H19(2007),12.2,10.4,29.4,48,,,,,,,,,,,
H24(2014),12.4,9.6,30.9,47.2,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
