区分,Area,合計（ha）,L-1／宅地（ha）,L-2／その他（ha）,L-2／（屋外利用地）／内数（ha）,L-3／公園、運動場等（ha）,L-4／未利用地等（ha）,L-5／道路等（ha）,L-5／（道路）／内数（ha）,L-6／農用地（ha）,L-7／水面・河川・水路（ha）,L-8／森林（ha）,L-9／原野（ha）
全域（H24）,All area(2012),82888.1,28797.6,3976.3,2503.9,4435.3,2056.4,9409.8,8998.4,5705.6,1225.7,24844.2,2437.2
全域（H19）,All area(2007),82883.1,28310.1,4093.6,2626,4395.6,2044.3,9182.1,8766.4,6093.4,1226.5,25041.4,2496.1
八王子市,Hachioji,18653.2,4598.5,619.7,439,922,449.5,1764.5,1711.4,877.7,214.5,8565.7,641.1
立川市,Tachikawa,2433.6,1128.2,277.4,139,177.8,121.9,366.7,345.1,277.4,19,40.3,24.9
武蔵野市,Musashino,1076.5,729.4,42.1,42,67.3,17.8,177.1,167.4,35.1,6.3,1.1,0.2
三鷹市,Mitaka,1645.5,1025.8,61.6,61,70.2,39,250,239.4,167.3,19.7,10.2,1.9
青梅市,Ome,10330.6,1468.2,331,147.2,312.7,121.1,537.6,521.9,514.4,137.1,6756.5,151.9
府中市,Fuchu,2929.8,1580.3,156.1,120.2,272.5,61.6,502,468,150.5,45.5,13.9,147.6
昭島市,Akishima,1714.6,822.2,71.5,71.2,166.2,91.1,247.1,229.6,81.2,53.6,36.4,145.2
調布市,Chofu,2160.3,1162,92.7,92.2,193,37.5,364.5,329.6,154,48.4,43.8,64.5
町田市,Machida,7158.7,3167.6,249.2,248.7,389.2,238,1013.1,993.1,515.5,70.5,1280.1,235.5
小金井市,Koganei,1132.3,704.1,31.3,31.1,98.7,14,182.1,167.3,76.2,12.6,10.6,2.7
小平市,Kodaira,2045.5,1213.4,88,77.9,153.5,30.4,308.4,291.6,207.3,7.3,34.8,2.4
日野市,Hino,2741.6,1215.7,103,102.2,145,111.5,444.9,412.3,166.5,85.9,184.5,284.5
東村山市,Higashimurayama,1715,952.1,75.4,74.3,99,26.6,263.5,242.8,179.2,17,80.4,21.9
国分寺市,Kokubunji,1153.9,681.1,50.5,50.2,31.7,21.4,177.2,165.6,157.9,2.4,27.8,3.9
国立市,Kunitachi,815.9,493.5,42.3,40.7,20.7,16.6,149.7,142.5,59.2,9,6.8,18.1
福生市,Fussa,1018.4,372.8,371.6,52.6,40.4,11.4,136.2,125.6,19.4,11.5,19,36
狛江市,Komae,642.9,367.1,29.1,28.9,23.5,13.4,107.6,104.2,41,18.8,6.8,35.6
東大和市,Higashiyamato,1353.2,551,56.9,56.1,89.7,34.2,189.8,186.7,81,151.1,196.4,3.1
清瀬市,Kiyose,1012,488.9,36.6,36.5,28.1,24.8,148.4,139.8,222,8.1,37.8,17.3
東久留米市,Higashikurume,1289.4,689.6,65.5,65.2,50.2,35.2,211.9,209.4,184.7,7.9,36.1,8.1
武蔵村山市,Musashimurayama,1542.9,648.3,159.7,60.6,38.3,78.2,179.3,179.3,215.2,10.1,206.4,7.4
多摩市,Tama,2107.3,898.4,71.8,70.7,298.5,77.1,404.4,386.3,43.9,40.5,140.5,132.2
稲城市,Inagi,1797,515.7,187.1,58,271.3,124.8,237.4,221.9,148.3,27,214,71.3
羽村市,Hamura,995.8,568.4,90.3,48.8,42.4,13.9,148.5,143.3,45.1,24.1,17.8,45.3
あきる野市,Akiruno,7342.5,953.2,157.5,104,289.8,121.4,357.4,348.9,494.9,142.2,4556.5,269.6
西東京市,Nishitokyo,1590.9,954.3,74.7,74.3,70.9,35.6,263.3,253.2,171.8,4.5,13.7,2.2
瑞穂町,Mizuho,1683.8,518.7,298.4,77.2,38.8,41.5,169.2,164.3,279.3,5.3,324.5,8
日の出町,Hinode,2805.1,329.2,85.2,34,33.8,46.9,108,108,139.5,25.7,1982,54.8
