区分,平成19年(2007)不燃化率（建築面積ベース）構成比(%),平成24年(2012)不燃化率（建築面積ベース）構成比(%)
BP-1／官公庁施設,90.7,92.1
BP-2／教育文化施設,85.6,86.4
BP-3／厚生医療施設,91.3,91.9
BP-4／供給処理施設,96.2,96.6
BC-1／事務所建築物,87.7,88.6
BC-2／専用商業施設,89.5,90.8
BC-3／住商併用施設,44.8,47.4
BC-4／宿泊・遊興施設,75.7,81
BC-5／スポーツ・興行施設,93,93.6
BR-1／独立住宅,11.1,12.4
BR-2／集合住宅,76.5,77.6
BI-1／専用工場,87.8,88.7
BI-2／住居併用工場,37.7,39.3
BI-3／倉庫運輸関係施設,83.3,84.6
BA／農林漁業施設,30.6,30.6
